Cluster_name,Number_of_genes,Genes
955,1,Spock1
956,1,Slc28a3
957,1,Gm3325
958,2,"Zfp808, 2810408B13Rik"
959,2,"Gm46422, Gm30409"
960,1,Hsd17b3
961,1,4930525G20Rik
962,1,Gm36426
963,2,"Irx4, Eprn"
964,1,Slc12a7
965,1,Glrx
966,1,Nr2f1
967,1,Gm32639
968,1,Edil3
969,1,Vcan
970,1,Gm20379
971,3,"F2r, Gm33074, Gm32702"
972,1,Hexb
973,1,Naip1
974,1,Gm36553
975,1,Gm53812
976,1,Elovl7
977,1,Gm41065
978,2,"Gm41067, Plpp1"
979,1,Esm1
980,1,Fst
981,1,Itga2
982,1,Emb
983,1,Gm36161
984,1,Tcstv4
985,1,Fhit
986,1,Abhd6
987,1,Kcnk5
988,1,Wnt5a
989,1,Ogdhl
990,1,Slc18a3
991,1,Prxl2a
992,1,Gm3287
993,1,Gm41144
994,1,Lgals3
995,1,Klhl33
996,1,Rnase10
997,3,"Trdd2, Trdj1, Trdc"
998,1,Rem2
999,1,Slc7a8
1000,1,Rec8
1001,1,Fgf9
1002,1,Amer2
1003,1,Dleu7
1004,1,Sox7
1005,1,9630015K15Rik
1006,1,Gm48449
1007,1,Stmn4
1008,1,Adra1a
1009,1,LOC118568160
1010,1,Entpd4b
1011,1,Egr3
1012,3,"Phyhip, Bmp1, Lgi3"
1013,1,Slc25a30
1014,1,Tsc22d1
1015,1,1700108F19Rik
1016,2,"Lacc1, Ccdc122"
1017,1,Epsti1
1018,1,Cnmd
1019,1,Olfm4
1020,1,Gm5088
1021,1,Klf5
1022,1,LOC118568133
1023,2,"4930517O19Rik, Gm41231"
1024,1,Gpc5
1025,1,Gm52112
1026,1,Dzip1
1027,1,Gm26679
1028,1,Slc15a1
1029,1,Gm46485
1030,1,Itgbl1
1031,1,Ghr
1032,1,C7
1033,1,Gm2245
1034,1,Npr3
1035,1,Gm36642
1036,1,Fbxl7
1037,1,Gm41284
1038,1,Ankrd33b
1039,1,Cpq
1040,1,Fbxo43
1041,1,Snx31
1042,2,"Gm15941, 4930447A16Rik"
1043,1,Sybu
1044,2,"2310069G16Rik, A930017M01Rik"
1045,1,Fer1l6
1046,1,Mtss1
1047,1,Gm36677
1048,1,Gm53889
1049,1,Tg
1050,1,Sla
1051,1,Ccn4
1052,3,"St3gal1, Gm31400, 1700012I11Rik"
1053,2,"Arc, Gm32994"
1054,1,Ly6e
1055,1,Ly6h
1056,1,Gm53899
1057,1,Apol9a
1058,1,Lgals2
1059,1,Galr3
1060,1,Maff
1061,1,Gm31462
1062,1,Mchr1
1063,1,Csdc2
1064,1,Creld2
1065,2,"Cimap1b, Chkb"
1066,2,"Redic1, Slc2a13"
1067,1,Smgc
1068,1,Cntn1
1069,1,Gm41386
1070,1,Tmem117
1071,1,Slc38a1
1072,1,Gm41393
1073,3,"Rapgef3, Gm33531, Rapgef3os2"
1074,1,Pfkm
1075,3,"Tuba1a, B430209F14Rik, Tuba1c"
1076,2,"Faim2, Aqp5"
1077,2,"Krt80, Gm35853"
1078,2,"Krt4, Gm36026"
1079,1,Igfbp6
1080,1,Espl1
1081,1,Amhr2
1082,1,Hmox2
1083,2,"Tekt5, Gm41419"
1084,1,Gm32817
1085,1,Myh11
1086,1,P2rx6
1087,1,Cdc45
1088,3,"Clcn2, Thpo, Chrd"
1089,1,Igf2bp2
1090,2,"Dgkg, Gm15651"
1091,2,"Plaat1, Atp13a5"
1092,2,"Gm26562, 1700025H01Rik"
1093,2,"Gm52252, Fam43a"
1094,1,Gm46560
1095,1,Slc51a
1096,1,Slc12a8
1097,2,"Gm15658, Muc13"
1098,1,Mylk
1099,1,Pdia5
1100,1,Cd86
1101,2,"Polq, Stxbp5l"
1102,1,Fstl1
1103,1,Nr1i2
1104,2,"Popdc2, Pla1a"
1105,1,Gm53259
1106,1,Gm30064
1107,1,BC016579
1108,1,Nectin3
1109,1,Gm41461
1110,1,Filip1l
1111,1,Col8a1
1112,1,Dcbld2
1113,1,Stx19
1114,1,Vgll3
1115,1,9430053O09Rik
1116,1,App
1117,3,"4930404I05Rik, Paxbp1, Epcip"
1118,1,Kcnj15
1119,1,B3galt5
1120,1,Pcp4
1121,3,"Gm2808, Tmem181c-ps, Sytl3"
1122,1,Rnaset2b
1123,1,Tagap
1124,1,Rnaset2a
1125,1,1700010I14Rik
1126,2,"Gm11166, Unc93a"
1127,1,Smok2b
1128,2,"Dact2, Gm34510"
1129,2,"Zfp52, Gm41541"
1130,3,"Tnfrsf12a, Cldn6, Kremen2"
1131,1,Gm57643
1132,1,Igfals
1133,3,"Pgap6, Arhgdig, Rgs11"
1134,4,"1700049J03Rik, Ergic1, Gm41553, Atp6v0e"
1135,1,Spdef
1136,1,Def6
1137,1,Fkbp5
1138,4,"E230001N04Rik, Armc12, Clps, Slc26a8"
1139,1,Mapk13
