Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,Q99KC8,Q99KC8,-1.019112548,1.019112548,0.045984882,1.34,0.049781984,20,Q99KC8,Vwa5a,von Willebrand factor A domain-containing protein 5A,VMA5A_MOUSE,4,-50.65802215,0.493419779,Female,Male,NaN,NaN,NaN
Female / Male,P35505,P35505,-1.019096131,1.019096131,0.006449803,2.19,0.018539729,20,P35505,Fah,Fumarylacetoacetase,FAAA_MOUSE,1,-50.65746066,0.493425393,Female,Male,NaN,NaN,NaN
Female / Male,P54615,P54615,-1.01765339,1.01765339,8.05E-05,4.09,0.001041744,20,P54615,Bglap3,Osteocalcin-related protein,OSTR_MOUSE,3,-50.60809185,0.493919082,Female,Male,NaN,NaN,NaN
Female / Male,Q6ZWM4,Q6ZWM4,-1.009910054,1.009910054,0.014854993,1.83,0.028416954,20,Q6ZWM4,Lsm8,U6 snRNA-associated Sm-like protein LSm8,LSM8_MOUSE,2,-50.34227937,0.496577206,Female,Male,NaN,NaN,NaN
Female / Male,P36552,P36552,-1.002177046,1.002177046,0.031968696,1.5,0.042043949,20,P36552,Cpox,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",HEM6_MOUSE,1,-50.07539375,0.499246062,Female,Male,NaN,NaN,NaN
Female / Male,Q9JII6,Q9JII6,-1.001782502,1.001782502,0.010690553,1.97,0.023961585,20,Q9JII6,Akr1a1,Aldo-keto reductase family 1 member A1,AK1A1_MOUSE,11,-50.06173867,0.499382613,Female,Male,NaN,NaN,NaN
Female / Male,Q8VDP6,Q8VDP6,-0.993786893,0.993786893,0.014439668,1.84,0.028023198,20,Q8VDP6,Cdipt,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT_MOUSE,1,-49.78420578,0.502157942,Female,Male,NaN,NaN,NaN
Female / Male,P01837,P01837,-0.993737745,0.993737745,0.004440959,2.35,0.014930811,20,P01837,Igkc,Immunoglobulin kappa constant,IGKC_MOUSE,5,-49.78249505,0.502175049,Female,Male,NaN,NaN,NaN
Female / Male,P62774,P62774,-0.986703233,0.986703233,0.04375916,1.36,0.048666126,20,P62774,Mtpn,Myotrophin,MTPN_MOUSE,1,-49.537039,0.50462961,Female,Male,NaN,NaN,NaN
Female / Male,P63158,P63158,-0.982194737,0.982194737,2.58E-10,9.59,6.71E-08,20,P63158,Hmgb1,High mobility group protein B1,HMGB1_MOUSE,2,-49.37909296,0.50620907,Female,Male,NaN,NaN,NaN
Female / Male,Q9R0Q7,Q9R0Q7,-0.974353044,0.974353044,0.002010239,2.7,0.009063504,20,Q9R0Q7,Ptges3,Prostaglandin E synthase 3,TEBP_MOUSE,1,-49.10319656,0.508968034,Female,Male,NaN,NaN,NaN
Female / Male,Q9D8E6,Q9D8E6,-0.971465713,0.971465713,0.032031143,1.49,0.042043949,20,Q9D8E6,Rpl4,Large ribosomal subunit protein uL4,RL4_MOUSE,2,-49.0012325,0.509987675,Female,Male,NaN,NaN,NaN
Female / Male,Q8CF66,Q8CF66,-0.960280372,0.960280372,0.007931327,2.1,0.020495875,20,Q8CF66,Lamtor4,Ragulator complex protein LAMTOR4,LTOR4_MOUSE,1,-48.60429783,0.513957022,Female,Male,NaN,NaN,NaN
Female / Male,P70274,P70274,-0.949471369,0.949471369,0.014175884,1.85,0.027781883,20,P70274,Selenop,Selenoprotein P,SEPP1_MOUSE,5,-48.21778329,0.517822167,Female,Male,NaN,NaN,NaN
Female / Male,Q8VCS3,Q8VCS3,-0.943513246,0.943513246,7.77E-05,4.11,0.001026667,20,Q8VCS3,Fam20b,Glycosaminoglycan xylosylkinase,XYLK_MOUSE,2,-48.00348798,0.51996512,Female,Male,NaN,NaN,NaN
Female / Male,Q9D8L5,Q9D8L5,-0.941328478,0.941328478,0.030321344,1.52,0.041264459,20,Q9D8L5,Ccdc91,Coiled-coil domain-containing protein 91,CCD91_MOUSE,1,-47.9246866,0.520753134,Female,Male,NaN,NaN,NaN
Female / Male,Q61239,Q61239,-0.93332803,0.93332803,0.009030548,2.04,0.022005265,20,Q61239,Fnta,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,FNTA_MOUSE,1,-47.63510137,0.523648986,Female,Male,NaN,NaN,NaN
Female / Male,P12382,P12382,-0.931600024,0.931600024,0.023225846,1.63,0.036004568,20,P12382,Pfkl,"ATP-dependent 6-phosphofructokinase, liver type",PFKAL_MOUSE,6,-47.57234309,0.524276569,Female,Male,NaN,NaN,NaN
Female / Male,A3KMP2,A3KMP2,-0.925964878,0.925964878,0.003924175,2.41,0.01378764,20,A3KMP2,Ttc38,Tetratricopeptide repeat protein 38,TTC38_MOUSE,6,-47.36716094,0.526328391,Female,Male,NaN,NaN,NaN
Female / Male,Q99LX0,Q99LX0,-0.920076339,0.920076339,0.030259762,1.52,0.041264459,20,Q99LX0,Park7,Parkinson disease protein 7 homolog,PARK7_MOUSE,6,-47.15189447,0.528481055,Female,Male,NaN,NaN,NaN
Female / Male,P39655,P39655,-0.915419911,0.915419911,0.039349923,1.41,0.046016402,20,P39655,Alox12,Polyunsaturated fatty acid lipoxygenase ALOX12,LOX12_MOUSE,5,-46.98104687,0.530189531,Female,Male,NaN,NaN,NaN
Female / Male,Q91YN9,Q91YN9,-0.903327258,0.903327258,0.007208133,2.14,0.019665665,20,Q91YN9,Bag2,BAG family molecular chaperone regulator 2,BAG2_MOUSE,1,-46.53477491,0.534652251,Female,Male,NaN,NaN,NaN
Female / Male,Q91X52,Q91X52,-0.897452892,0.897452892,0.030736185,1.51,0.041406259,20,Q91X52,Dcxr,L-xylulose reductase,DCXR_MOUSE,2,-46.31663139,0.536833686,Female,Male,NaN,NaN,NaN
Female / Male,Q8BXA1,Q8BXA1,-0.896758756,0.896758756,7.50E-06,5.12,0.000188778,20,Q8BXA1,Golim4,Golgi integral membrane protein 4,GOLI4_MOUSE,5,-46.29079606,0.537092039,Female,Male,NaN,NaN,NaN
Female / Male,Q8R086,Q8R086,-0.895744445,0.895744445,0.001749325,2.76,0.008474991,20,Q8R086,Suox,"Sulfite oxidase, mitochondrial",SUOX_MOUSE,1,-46.25302162,0.537469784,Female,Male,NaN,NaN,NaN
Female / Male,Q9EQP2,Q9EQP2,-0.893217455,0.893217455,0.025118118,1.6,0.03717672,20,Q9EQP2,Ehd4,EH domain-containing protein 4,EHD4_MOUSE,4,-46.15879719,0.538412028,Female,Male,NaN,NaN,NaN
Female / Male,P17225,P17225,-0.880588919,0.880588919,0.03934365,1.41,0.046016402,20,P17225,Ptbp1,Polypyrimidine tract-binding protein 1,PTBP1_MOUSE,2,-45.685433,0.54314567,Female,Male,NaN,NaN,NaN
Female / Male,Q9CXI5,Q9CXI5,-0.873319899,0.873319899,6.31E-05,4.2,0.000879213,20,Q9CXI5,Manf,Mesencephalic astrocyte-derived neurotrophic factor,MANF_MOUSE,6,-45.41107844,0.545889216,Female,Male,NaN,NaN,NaN
