Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,P02088,P02088,-5.555846585,5.555846585,0.000985526,3.01,0.005497051,20,P02088,Hbb-b1,Hemoglobin subunit beta-1,HBB1_MOUSE,24,-97.8741945,0.021258055,Female,Male,NaN,NaN,NaN
Female / Male,P04443;P04444,P04443;P04444,-4.856797413,4.856797413,0.006371702,2.2,0.018539729,20,P04443;P04444,Hbb-bh0;Hbb-bh1,Hemoglobin subunit beta-H0;Hemoglobin subunit beta-H1,HBB0_MOUSE;HBBZ_MOUSE,1,-96.54889402,0.03451106,Female,Male,NaN,NaN,NaN
Female / Male,P01942,P01942,-4.821882635,4.821882635,0.001294422,2.89,0.006642426,20,P01942,Hba,Hemoglobin subunit alpha,HBA_MOUSE,17,-96.46435469,0.035356453,Female,Male,NaN,NaN,NaN
Female / Male,P02089,P02089,-4.580062355,4.580062355,0.003020844,2.52,0.011781292,20,P02089,Hbb-b2,Hemoglobin subunit beta-2,HBB2_MOUSE,11,-95.8191571,0.041808429,Female,Male,NaN,NaN,NaN
Female / Male,P01648,P01648,-4.405489217,4.405489217,0.002627163,2.58,0.010842261,20,P01648,NaN,Ig kappa chain V-V region HP 91A3,KV5AF_MOUSE,1,-95.28137353,0.047186265,Female,Male,NaN,NaN,NaN
Female / Male,P01753;P01754;P06328,P01753;P01754;P06328,-4.378132686,4.378132686,0.041981585,1.38,0.047526323,20,P01753;P01754;P06328,Ighv1-62-3;Ighv1-72,Ig heavy chain V region 186-1;Ig heavy chain V region 1-62-3;Ig heavy chain V region 1-72,HVM09_MOUSE;HVM10_MOUSE;HVM49_MOUSE,1,-95.19104474,0.048089553,Female,Male,NaN,NaN,NaN
Female / Male,P00920,P00920,-4.266816601,4.266816601,0.002064485,2.69,0.009254589,20,P00920,Ca2,Carbonic anhydrase 2,CAH2_MOUSE,13,-94.80530304,0.05194697,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z126,Q9Z126,-4.003266485,4.003266485,0.012046359,1.92,0.025258495,20,Q9Z126,Pf4,Platelet factor 4,PLF4_MOUSE,1,-93.76413496,0.06235865,Female,Male,NaN,NaN,NaN
Female / Male,Q07456,Q07456,-3.958724036,3.958724036,0.020413984,1.69,0.033734973,20,Q07456,Ambp,Protein AMBP,AMBP_MOUSE,4,-93.56860297,0.06431397,Female,Male,NaN,NaN,NaN
Female / Male,Q9R0Y5,Q9R0Y5,-3.897938557,3.897938557,0.004710386,2.33,0.015601562,20,Q9R0Y5,Ak1,Adenylate kinase isoenzyme 1,KAD1_MOUSE,2,-93.29183752,0.067081625,Female,Male,NaN,NaN,NaN
Female / Male,Q8K558,Q8K558,-3.890625898,3.890625898,0.010560596,1.98,0.023912282,20,Q8K558,Treml1,Trem-like transcript 1 protein,TRML1_MOUSE,1,-93.25774921,0.067422508,Female,Male,NaN,NaN,NaN
Female / Male,P28665,P28665,-3.48450384,3.48450384,0.007605317,2.12,0.020041038,20,P28665,Mug1,Murinoglobulin-1,MUG1_MOUSE,54,-91.06571454,0.089342855,Female,Male,NaN,NaN,NaN
Female / Male,Q00623,Q00623,-3.393374768,3.393374768,0.009495826,2.02,0.022512902,20,Q00623,Apoa1,Apolipoprotein A-I,APOA1_MOUSE,32,-90.48316788,0.095168321,Female,Male,NaN,NaN,NaN
Female / Male,Q61838,Q61838,-3.335583718,3.335583718,0.007144571,2.15,0.01965454,20,Q61838,Pzp,Pregnancy zone protein,PZP_MOUSE,70,-90.09420701,0.09905793,Female,Male,NaN,NaN,NaN
Female / Male,P62631,P62631,-3.306835192,3.306835192,0.014239799,1.85,0.027837201,20,P62631,Eef1a2,Elongation factor 1-alpha 2,EF1A2_MOUSE,3,-89.89483483,0.101051652,Female,Male,NaN,NaN,NaN
Female / Male,O08553,O08553,-3.286373001,3.286373001,0.005738218,2.24,0.017348101,20,O08553,Dpysl2,Dihydropyrimidinase-related protein 2,DPYL2_MOUSE,13,-89.75048891,0.102495111,Female,Male,NaN,NaN,NaN
Female / Male,P01139,P01139,-3.230452859,3.230452859,0.001031886,2.99,0.005706146,20,P01139,Ngf,Beta-nerve growth factor,NGF_MOUSE,5,-89.34540884,0.106545912,Female,Male,NaN,NaN,NaN
Female / Male,P41317,P41317,-3.211713571,3.211713571,0.011153154,1.95,0.024427344,20,P41317,Mbl2,Mannose-binding protein C,MBL2_MOUSE,3,-89.20611274,0.107938873,Female,Male,NaN,NaN,NaN
Female / Male,Q00898,Q00898,-3.149977435,3.149977435,0.003808883,2.42,0.013618379,20,Q00898,Serpina1e,Alpha-1-antitrypsin 1-5,A1AT5_MOUSE,8,-88.73419301,0.11265807,Female,Male,NaN,NaN,NaN
Female / Male,P01843,P01843,-3.141250151,3.141250151,0.006395124,2.19,0.018539729,20,P01843,NaN,Ig lambda-1 chain C region,LAC1_MOUSE,2,-88.66583631,0.113341637,Female,Male,NaN,NaN,NaN
Female / Male,Q80YC5,Q80YC5,-3.134393451,3.134393451,0.018407844,1.73,0.032411103,20,Q80YC5,F12,Coagulation factor XII,FA12_MOUSE,5,-88.61184019,0.113881598,Female,Male,NaN,NaN,NaN
Female / Male,Q8VCG4,Q8VCG4,-3.095225102,3.095225102,0.004313863,2.37,0.014629623,20,Q8VCG4,C8g,Complement component C8 gamma chain,CO8G_MOUSE,7,-88.29842283,0.117015772,Female,Male,NaN,NaN,NaN
Female / Male,P13634,P13634,-3.056367669,3.056367669,0.001101292,2.96,0.005924193,20,P13634,Ca1,Carbonic anhydrase 1,CAH1_MOUSE,11,-87.97897075,0.120210293,Female,Male,NaN,NaN,NaN
Female / Male,P06909,P06909,-3.053243956,3.053243956,0.018069155,1.74,0.032040017,20,P06909,Cfh,Complement factor H,CFAH_MOUSE,21,-87.95291471,0.120470853,Female,Male,NaN,NaN,NaN
Female / Male,Q62188,Q62188,-3.007526373,3.007526373,0.014442725,1.84,0.028023198,20,Q62188,Dpysl3,Dihydropyrimidinase-related protein 3,DPYL3_MOUSE,9,-87.56504125,0.124349587,Female,Male,NaN,NaN,NaN
Female / Male,P01898,P01898,-2.998872231,2.998872231,0.017328944,1.76,0.031433898,20,P01898,H2-Q10,"H-2 class I histocompatibility antigen, Q10 alpha chain",HA10_MOUSE,12,-87.4902248,0.125097752,Female,Male,NaN,NaN,NaN
Female / Male,Q04447,Q04447,-2.990362982,2.990362982,0.011981465,1.92,0.025222397,20,Q04447,Ckb,Creatine kinase B-type,KCRB_MOUSE,12,-87.4162221,0.125837779,Female,Male,NaN,NaN,NaN
Female / Male,P01758,P01758,-2.976463912,2.976463912,0.025088845,1.6,0.03717672,20,P01758,Igh-VJ558,Ig heavy chain V region 108A,HVM14_MOUSE,1,-87.29440284,0.127055972,Female,Male,NaN,NaN,NaN
Female / Male,Q08331,Q08331,-2.932469858,2.932469858,0.021237204,1.67,0.034295113,20,Q08331,Calb2,Calretinin,CALB2_MOUSE,13,-86.90098584,0.130990142,Female,Male,NaN,NaN,NaN
Female / Male,P04919,P04919,-2.913934721,2.913934721,0.003558435,2.45,0.013030889,20,P04919,Slc4a1,Band 3 anion transport protein,B3AT_MOUSE,21,-86.73160954,0.132683905,Female,Male,NaN,NaN,NaN
Female / Male,P06684,P06684,-2.912496689,2.912496689,0.011785311,1.93,0.025028846,20,P06684,C5,Complement C5,CO5_MOUSE,44,-86.71837744,0.132816226,Female,Male,NaN,NaN,NaN
Female / Male,Q8K0C5,Q8K0C5,-2.898736062,2.898736062,0.01560949,1.81,0.029267793,20,Q8K0C5,Zg16,Zymogen granule membrane protein 16,ZG16_MOUSE,4,-86.59108938,0.134089106,Female,Male,NaN,NaN,NaN
Female / Male,Q9JJN5,Q9JJN5,-2.868709641,2.868709641,0.016512361,1.78,0.030490736,20,Q9JJN5,Cpn1,Carboxypeptidase N catalytic chain,CBPN_MOUSE,9,-86.30908894,0.136909111,Female,Male,NaN,NaN,NaN
Female / Male,Q6P8U6,Q6P8U6,-2.865576443,2.865576443,0.046016424,1.34,0.049781984,20,Q6P8U6,Pnlip,Pancreatic triacylglycerol lipase,LIPP_MOUSE,1,-86.27932315,0.137206768,Female,Male,NaN,NaN,NaN
Female / Male,Q9JM71,Q9JM71,-2.854600794,2.854600794,0.001897129,2.72,0.008860842,20,Q9JM71,Klk1b27,Kallikrein 1-related peptidase b27,K1B27_MOUSE,16,-86.17454174,0.138254583,Female,Male,NaN,NaN,NaN
Female / Male,P06330,P06330,-2.848042138,2.848042138,0.000965488,3.02,0.005496941,20,P06330,NaN,Ig heavy chain V region AC38 205.12,HVM51_MOUSE,6,-86.11154655,0.138884535,Female,Male,NaN,NaN,NaN
Female / Male,P42669,P42669,-2.844665442,2.844665442,0.012394956,1.91,0.02577421,20,P42669,Pura,Transcriptional activator protein Pur-alpha,PURA_MOUSE,1,-86.07900189,0.139209981,Female,Male,NaN,NaN,NaN
Female / Male,Q7TQ62,Q7TQ62,-2.816260237,2.816260237,0.000369866,3.43,0.00285639,20,Q7TQ62,Podn,Podocan,PODN_MOUSE,3,-85.80219546,0.141978045,Female,Male,NaN,NaN,NaN
Female / Male,P51885,P51885,-2.807456955,2.807456955,0.012527955,1.9,0.025783126,20,P51885,Lum,Lumican,LUM_MOUSE,6,-85.71529602,0.14284704,Female,Male,NaN,NaN,NaN
Female / Male,Q8BH35,Q8BH35,-2.774089901,2.774089901,0.017416601,1.76,0.0314721,20,Q8BH35,C8b,Complement component C8 beta chain,CO8B_MOUSE,13,-85.38106521,0.146189348,Female,Male,NaN,NaN,NaN
Female / Male,P01029,P01029,-2.713985918,2.713985918,0.023016645,1.64,0.036004568,20,P01029,C4b,Complement C4-B,CO4B_MOUSE,49,-84.75916256,0.152408374,Female,Male,NaN,NaN,NaN
Female / Male,Q9JHH6,Q9JHH6,-2.713715547,2.713715547,0.022355313,1.65,0.035420833,20,Q9JHH6,Cpb2,Carboxypeptidase B2,CBPB2_MOUSE,5,-84.75630606,0.152436939,Female,Male,NaN,NaN,NaN
Female / Male,P06683,P06683,-2.70543494,2.70543494,0.003332227,2.48,0.012318186,20,P06683,C9,Complement component C9,CO9_MOUSE,16,-84.66856056,0.153314394,Female,Male,NaN,NaN,NaN
Female / Male,P01723;P01726;P01727;P01728;P01729,P01723;P01726;P01727;P01728;P01729,-2.696083037,2.696083037,0.001281374,2.89,0.006619017,20,P01723;P01726;P01727;P01728;P01729,NaN,Ig lambda-1 chain V region;Ig lambda-1 chain V region H2020;Ig lambda-1 chain V region S43;Ig lambda-2 chain V region;Ig lambda-2 chain V region MOPC 315,LV1A_MOUSE;LV1D_MOUSE;LV1E_MOUSE;LV2A_MOUSE;LV2B_MOUSE,1,-84.56885561,0.154311444,Female,Male,NaN,NaN,NaN
Female / Male,P70277,P70277,-2.686531145,2.686531145,5.60E-06,5.25,0.000161797,20,P70277,St6galnac2,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",SIA7B_MOUSE,14,-84.46634908,0.155336509,Female,Male,NaN,NaN,NaN
Female / Male,Q8R1Q0,Q8R1Q0,-2.676408152,2.676408152,0.020624662,1.69,0.033867866,20,Q8R1Q0,Stx19,Syntaxin-19,STX19_MOUSE,1,-84.35697045,0.156430295,Female,Male,NaN,NaN,NaN
Female / Male,Q00896,Q00896,-2.67452888,2.67452888,0.01455479,1.84,0.028100833,20,Q00896,Serpina1c,Alpha-1-antitrypsin 1-3,A1AT3_MOUSE,25,-84.33658037,0.156634196,Female,Male,NaN,NaN,NaN
Female / Male,P00756,P00756,-2.643836474,2.643836474,0.002555325,2.59,0.010658573,20,P00756,Klk1b3,Kallikrein 1-related peptidase b3,K1KB3_MOUSE,10,-83.99978134,0.160002187,Female,Male,NaN,NaN,NaN
Female / Male,O35678,O35678,-2.642775264,2.642775264,0.044466021,1.35,0.048666126,20,O35678,Mgll,Monoglyceride lipase,MGLL_MOUSE,1,-83.98800765,0.160119923,Female,Male,NaN,NaN,NaN
Female / Male,P15949,P15949,-2.626284886,2.626284886,0.001781131,2.75,0.008575814,20,P15949,Klk1b9,Kallikrein 1-related peptidase b9,K1KB9_MOUSE,9,-83.80393645,0.161960635,Female,Male,NaN,NaN,NaN
Female / Male,P22599,P22599,-2.61941149,2.61941149,0.025392652,1.6,0.037506474,20,P22599,Serpina1b,Alpha-1-antitrypsin 1-2,A1AT2_MOUSE,14,-83.72658985,0.162734102,Female,Male,NaN,NaN,NaN
Female / Male,P34928,P34928,-2.608926348,2.608926348,0.019479175,1.71,0.032886919,20,P34928,Apoc1,Apolipoprotein C-I,APOC1_MOUSE,3,-83.607888,0.16392112,Female,Male,NaN,NaN,NaN
Female / Male,P51910,P51910,-2.585274722,2.585274722,0.03832278,1.42,0.04556672,20,P51910,Apod,Apolipoprotein D,APOD_MOUSE,6,-83.33693986,0.166630601,Female,Male,NaN,NaN,NaN
Female / Male,P07628,P07628,-2.552433056,2.552433056,0.001740474,2.76,0.008474991,20,P07628,Klk1b8,Kallikrein 1-related peptidase b8,K1KB8_MOUSE,8,-82.95326977,0.170467302,Female,Male,NaN,NaN,NaN
Female / Male,P01872,P01872,-2.543404985,2.543404985,0.023516227,1.63,0.036167633,20,P01872,Ighm,Immunoglobulin heavy constant mu,IGHM_MOUSE,12,-82.84626059,0.171537394,Female,Male,NaN,NaN,NaN
Female / Male,P11591,P11591,-2.543160629,2.543160629,4.44E-05,4.35,0.000745222,20,P11591,Mup5,Major urinary protein 5,MUP5_MOUSE,16,-82.84335493,0.171566451,Female,Male,NaN,NaN,NaN
Female / Male,Q01339,Q01339,-2.542437968,2.542437968,0.03749612,1.43,0.045302556,20,Q01339,Apoh,Beta-2-glycoprotein 1,APOH_MOUSE,13,-82.83475884,0.171652412,Female,Male,NaN,NaN,NaN
Female / Male,P01863;P01865,P01863;P01865,-2.532123265,2.532123265,0.037519809,1.43,0.045302556,20,P01863;P01865,Ighg;Ighg2a,"Ig gamma-2A chain C region, A allele;Immunoglobulin heavy constant gamma 2A",GCAA_MOUSE;GCAM_MOUSE,2,-82.71159434,0.172884057,Female,Male,NaN,NaN,NaN
Female / Male,Q64288,Q64288,-2.508058248,2.508058248,0.023371302,1.63,0.036098248,20,Q64288,Omp,Olfactory marker protein,OMP_MOUSE,7,-82.42079477,0.175792052,Female,Male,NaN,NaN,NaN
Female / Male,Q8K182,Q8K182,-2.465985475,2.465985475,0.002582871,2.59,0.010716166,20,Q8K182,C8a,Complement component C8 alpha chain,CO8A_MOUSE,11,-81.90059062,0.180994094,Female,Male,NaN,NaN,NaN
Female / Male,Q8VHC3,Q8VHC3,-2.459432271,2.459432271,0.018779483,1.73,0.032696421,20,Q8VHC3,Selenom,Selenoprotein M,SELM_MOUSE,3,-81.81819004,0.1818181,Female,Male,NaN,NaN,NaN
Female / Male,Q8CE72,Q8CE72,-2.435922019,2.435922019,0.007266685,2.14,0.019680605,20,Q8CE72,Cplane1,Ciliogenesis and planar polarity effector 1,CPLN1_MOUSE,1,-81.51947072,0.184805293,Female,Male,NaN,NaN,NaN
Female / Male,Q03734,Q03734,-2.433302225,2.433302225,0.020076482,1.7,0.033415857,20,Q03734,Serpina3m,Serine protease inhibitor A3M,SPA3M_MOUSE,18,-81.48588138,0.185141186,Female,Male,NaN,NaN,NaN
Female / Male,Q8K1A6,Q8K1A6,-2.433201222,2.433201222,2.87E-08,7.54,2.48E-06,20,Q8K1A6,Cc2d1a,Coiled-coil and C2 domain-containing protein 1A,C2D1A_MOUSE,1,-81.48458517,0.185154148,Female,Male,NaN,NaN,NaN
Female / Male,Q05BC3,Q05BC3,-2.421154542,2.421154542,0.010876111,1.96,0.02423819,20,Q05BC3,Eml1,Echinoderm microtubule-associated protein-like 1,EMAL1_MOUSE,1,-81.3293319,0.186706681,Female,Male,NaN,NaN,NaN
Female / Male,Q61702,Q61702,-2.414025227,2.414025227,0.010576586,1.98,0.023912282,20,Q61702,Itih1,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1_MOUSE,23,-81.23683938,0.187631606,Female,Male,NaN,NaN,NaN
Female / Male,P26262,P26262,-2.402301178,2.402301178,0.010500252,1.98,0.023912282,20,P26262,Klkb1,Plasma kallikrein,KLKB1_MOUSE,13,-81.08373947,0.189162605,Female,Male,NaN,NaN,NaN
Female / Male,Q9DBB9,Q9DBB9,-2.398413564,2.398413564,0.030121247,1.52,0.041264459,20,Q9DBB9,Cpn2,Carboxypeptidase N subunit 2,CPN2_MOUSE,11,-81.03269729,0.189673027,Female,Male,NaN,NaN,NaN
Female / Male,P33622,P33622,-2.396804612,2.396804612,0.017430701,1.76,0.0314721,20,P33622,Apoc3,Apolipoprotein C-III,APOC3_MOUSE,2,-81.01153239,0.189884676,Female,Male,NaN,NaN,NaN
Female / Male,P19221,P19221,-2.374473529,2.374473529,0.018937923,1.72,0.032704334,20,P19221,F2,Prothrombin,THRB_MOUSE,18,-80.71532856,0.192846714,Female,Male,NaN,NaN,NaN
Female / Male,Q61171,Q61171,-2.355045773,2.355045773,0.030481386,1.52,0.041264459,20,Q61171,Prdx2,Peroxiredoxin-2,PRDX2_MOUSE,10,-80.45387907,0.195461209,Female,Male,NaN,NaN,NaN
Female / Male,P49182,P49182,-2.348621908,2.348621908,0.011835045,1.93,0.025028846,20,P49182,Serpind1,Heparin cofactor 2,HEP2_MOUSE,11,-80.36665233,0.196333477,Female,Male,NaN,NaN,NaN
Female / Male,P31532,P31532,-2.346967848,2.346967848,0.003896903,2.41,0.013753776,20,P31532,Saa4,Serum amyloid A-4 protein,SAA4_MOUSE,7,-80.34412965,0.196558703,Female,Male,NaN,NaN,NaN
Female / Male,Q9JLT2,Q9JLT2,-2.333794992,2.333794992,4.44E-05,4.35,0.000745222,20,Q9JLT2,Treh,Trehalase,TREA_MOUSE,1,-80.16383538,0.198361646,Female,Male,NaN,NaN,NaN
Female / Male,P70290,P70290,-2.33022382,2.33022382,0.036002946,1.44,0.044363819,20,P70290,Mpp1,55 kDa erythrocyte membrane protein,EM55_MOUSE,6,-80.11467316,0.198853268,Female,Male,NaN,NaN,NaN
Female / Male,Q61703,Q61703,-2.326756243,2.326756243,0.017008045,1.77,0.031089882,20,Q61703,Itih2,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2_MOUSE,20,-80.06682047,0.199331795,Female,Male,NaN,NaN,NaN
Female / Male,Q00724,Q00724,-2.319755664,2.319755664,0.026859452,1.57,0.038941213,20,Q00724,Rbp4,Retinol-binding protein 4,RET4_MOUSE,4,-79.96986102,0.20030139,Female,Male,NaN,NaN,NaN
Female / Male,P56565,P56565,-2.302102024,2.302102024,0.000184544,3.73,0.001915728,20,P56565,S100a1,Protein S100-A1,S10A1_MOUSE,1,-79.72325508,0.202767449,Female,Male,NaN,NaN,NaN
Female / Male,P07309,P07309,-2.297836863,2.297836863,0.019392695,1.71,0.032811935,20,P07309,Ttr,Transthyretin,TTHY_MOUSE,10,-79.66322053,0.203367795,Female,Male,NaN,NaN,NaN
Female / Male,Q61754,Q61754,-2.286429189,2.286429189,0.001924234,2.72,0.008933945,20,Q61754,Klk1b24,Kallikrein 1-related peptidase b24,K1B24_MOUSE,6,-79.50177617,0.204982238,Female,Male,NaN,NaN,NaN
Female / Male,P05214,P05214,-2.277759723,2.277759723,0.042577275,1.37,0.047784568,20,P05214,Tuba3a,Tubulin alpha-3 chain,TBA3_MOUSE,1,-79.37822706,0.206217729,Female,Male,NaN,NaN,NaN
Female / Male,P00755,P00755,-2.275167453,2.275167453,0.006191899,2.21,0.018225211,20,P00755,Klk1b1,Kallikrein 1-related peptidase b1,K1KB1_MOUSE,11,-79.34114004,0.2065886,Female,Male,NaN,NaN,NaN
Female / Male,P01639,P01639,-2.251896799,2.251896799,0.036552941,1.44,0.044829079,20,P01639,Igkv9-120,Immunoglobulin kappa chain variable 9-120,KV5A7_MOUSE,2,-79.00521089,0.209947891,Female,Male,NaN,NaN,NaN
Female / Male,Q61247,Q61247,-2.249971904,2.249971904,0.018073856,1.74,0.032040017,20,Q61247,Serpinf2,Alpha-2-antiplasmin,A2AP_MOUSE,14,-78.97718021,0.210228198,Female,Male,NaN,NaN,NaN
Female / Male,O09172,O09172,-2.240121085,2.240121085,0.0209593,1.68,0.034238611,20,O09172,Gclm,Glutamate--cysteine ligase regulatory subunit,GSH0_MOUSE,4,-78.8331438,0.211668562,Female,Male,NaN,NaN,NaN
Female / Male,Q02357,Q02357,-2.239266524,2.239266524,0.017175714,1.77,0.031267869,20,Q02357,Ank1,Ankyrin-1,ANK1_MOUSE,32,-78.82060217,0.211793978,Female,Male,NaN,NaN,NaN
Female / Male,P07214,P07214,-2.238012643,2.238012643,0.041083321,1.39,0.047090566,20,P07214,Sparc,SPARC,SPRC_MOUSE,1,-78.80218665,0.211978133,Female,Male,NaN,NaN,NaN
Female / Male,Q9DBD0,Q9DBD0,-2.235792313,2.235792313,0.022925496,1.64,0.035979652,20,Q9DBD0,Inhca,Inhibitor of carbonic anhydrase,ICA_MOUSE,22,-78.76953777,0.212304622,Female,Male,NaN,NaN,NaN
Female / Male,O88452,O88452,-2.233109239,2.233109239,0.000667547,3.18,0.004137168,20,O88452,Stc2,Stanniocalcin-2,STC2_MOUSE,1,-78.73001736,0.212699826,Female,Male,NaN,NaN,NaN
Female / Male,Q64669,Q64669,-2.230995922,2.230995922,0.026217552,1.58,0.038367149,20,Q64669,Nqo1,NAD(P)H dehydrogenase [quinone] 1,NQO1_MOUSE,2,-78.69883741,0.213011626,Female,Male,NaN,NaN,NaN
Female / Male,P11404,P11404,-2.22480139,2.22480139,0.030822061,1.51,0.041416929,20,P11404,Fabp3,"Fatty acid-binding protein, heart",FABPH_MOUSE,6,-78.6071795,0.213928205,Female,Male,NaN,NaN,NaN
Female / Male,P45878,P45878,-2.188898047,2.188898047,9.31E-07,6.03,4.04E-05,20,P45878,Fkbp2,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2_MOUSE,3,-78.06811145,0.219318886,Female,Male,NaN,NaN,NaN
Female / Male,O88947,O88947,-2.171446352,2.171446352,0.019110334,1.72,0.032811935,20,O88947,F10,Coagulation factor X,FA10_MOUSE,4,-77.80119921,0.221988008,Female,Male,NaN,NaN,NaN
Female / Male,P08226,P08226,-2.152130918,2.152130918,0.020526325,1.69,0.033848908,20,P08226,Apoe,Apolipoprotein E,APOE_MOUSE,13,-77.50199344,0.224980066,Female,Male,NaN,NaN,NaN
Female / Male,P97290,P97290,-2.137806163,2.137806163,0.028274599,1.55,0.040244867,20,P97290,Serping1,Plasma protease C1 inhibitor,IC1_MOUSE,16,-77.27749435,0.227225056,Female,Male,NaN,NaN,NaN
Female / Male,P52430,P52430,-2.101251307,2.101251307,0.040146045,1.4,0.046459815,20,P52430,Pon1,Serum paraoxonase/arylesterase 1,PON1_MOUSE,6,-76.69439786,0.233056021,Female,Male,NaN,NaN,NaN
Female / Male,P07759,P07759,-2.09017146,2.09017146,0.023176032,1.63,0.036004568,20,P07759,Serpina3k,Serine protease inhibitor A3K,SPA3K_MOUSE,17,-76.51472259,0.234852774,Female,Male,NaN,NaN,NaN
Female / Male,P08032,P08032,-2.076640553,2.076640553,0.004758294,2.32,0.015601562,20,P08032,Spta1,"Spectrin alpha chain, erythrocytic 1",SPTA1_MOUSE,55,-76.29342012,0.237065799,Female,Male,NaN,NaN,NaN
Female / Male,Q9D2J7,Q9D2J7,-2.070284836,2.070284836,7.89E-07,6.1,3.62E-05,20,Q9D2J7,Ankef1,Ankyrin repeat and EF-hand domain-containing protein 1,ANKE1_MOUSE,1,-76.18875164,0.238112484,Female,Male,NaN,NaN,NaN
Female / Male,Q9ESB3,Q9ESB3,-2.065477694,2.065477694,0.03219695,1.49,0.042043949,20,Q9ESB3,Hrg,Histidine-rich glycoprotein,HRG_MOUSE,14,-76.10927889,0.238907211,Female,Male,NaN,NaN,NaN
Female / Male,Q91X72,Q91X72,-2.054264636,2.054264636,0.036804117,1.43,0.045066266,20,Q91X72,Hpx,Hemopexin,HEMO_MOUSE,27,-75.92286956,0.240771304,Female,Male,NaN,NaN,NaN
Female / Male,P01868;P01869,P01868;P01869,-2.001183112,2.001183112,0.04146173,1.38,0.047217512,20,P01868;P01869,Ighg1,"Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region, membrane-bound form",IGHG1_MOUSE;IGH1M_MOUSE,5,-75.02049336,0.249795066,Female,Male,NaN,NaN,NaN
Female / Male,P06728,P06728,-1.992635309,1.992635309,0.039661962,1.4,0.046307439,20,P06728,Apoa4,Apolipoprotein A-IV,APOA4_MOUSE,30,-74.87205333,0.251279467,Female,Male,NaN,NaN,NaN
Female / Male,Q61704,Q61704,-1.952124582,1.952124582,0.013652056,1.86,0.027026914,20,Q61704,Itih3,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3_MOUSE,12,-74.15646337,0.258435366,Female,Male,NaN,NaN,NaN
Female / Male,Q8CG14,Q8CG14,-1.948171976,1.948171976,0.014539114,1.84,0.028100833,20,Q8CG14,C1s1,Complement C1s-1 subcomponent,CS1A_MOUSE,8,-74.08556178,0.259144382,Female,Male,NaN,NaN,NaN
Female / Male,P17892,P17892,-1.933337478,1.933337478,0.006685069,2.17,0.018892586,20,P17892,Pnliprp2,Pancreatic lipase-related protein 2,LIPR2_MOUSE,2,-73.81772214,0.261822779,Female,Male,NaN,NaN,NaN
Female / Male,P04940;P04941;P04943;P04944,P04940;P04941;P04943;P04944,-1.92788742,1.92788742,0.019838174,1.7,0.033157025,20,P04940;P04941;P04943;P04944,NaN,Ig kappa chain V-VI region NQ2-17.4.1;Ig kappa chain V-VI region NQ2-48.2.2;Ig kappa chain V-VI region NQ6-8.3.1;Ig kappa chain V-VI region NQ5-78.2.6,KV6A6_MOUSE;KV6A7_MOUSE;KV6A9_MOUSE;KV6AA_MOUSE,1,-73.7186265,0.262813735,Female,Male,NaN,NaN,NaN
Female / Male,O09164,O09164,-1.927184876,1.927184876,0.031418797,1.5,0.041748998,20,O09164,Sod3,Extracellular superoxide dismutase [Cu-Zn],SODE_MOUSE,1,-73.70582523,0.262941748,Female,Male,NaN,NaN,NaN
Female / Male,Q60854,Q60854,-1.912909561,1.912909561,9.27E-05,4.03,0.001066993,20,Q60854,Serpinb6,Serpin B6,SPB6_MOUSE,7,-73.44435567,0.265556443,Female,Male,NaN,NaN,NaN
Female / Male,P21614,P21614,-1.894371295,1.894371295,0.042102896,1.38,0.047553749,20,P21614,Gc,Vitamin D-binding protein,VTDB_MOUSE,21,-73.10092057,0.268990794,Female,Male,NaN,NaN,NaN
Female / Male,P11276,P11276,-1.866069974,1.866069974,0.03227485,1.49,0.042043949,20,P11276,Fn1,Fibronectin,FINC_MOUSE,46,-72.56803211,0.274319679,Female,Male,NaN,NaN,NaN
Female / Male,Q923D2,Q923D2,-1.841916966,1.841916966,0.026567872,1.58,0.038662202,20,Q923D2,Blvrb,Flavin reductase (NADPH),BLVRB_MOUSE,10,-72.10491148,0.278950885,Female,Male,NaN,NaN,NaN
Female / Male,P36368,P36368,-1.839831268,1.839831268,0.016574451,1.78,0.030490736,20,P36368,Egfbp2,Epidermal growth factor-binding protein type B,EGFB2_MOUSE,5,-72.06455452,0.279354455,Female,Male,NaN,NaN,NaN
Female / Male,P29788,P29788,-1.828644502,1.828644502,0.042436212,1.37,0.047763701,20,P29788,Vtn,Vitronectin,VTNC_MOUSE,8,-71.84709897,0.28152901,Female,Male,NaN,NaN,NaN
