ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
O70194,Eif3d,Eukaryotic translation initiation factor 3 subunit D,Mus musculus,542.1,NA,542.1
O70250,Pgam2,Phosphoglycerate mutase 2,Mus musculus,24166.08,3070,13618.04
O70251,Eef1b,Elongation factor 1-beta,Mus musculus,14875.4002,22264.7404,18570.0703
O70252,Hmox2,Heme oxygenase 2,Mus musculus,1186.1499999999999,499.4,957.2333333333333
O70362,Gpld1,Phosphatidylinositol-glycan-specific phospholipase D,Mus musculus,32739.900599999997,14442.66,23591.2803
O70400,Pdlim1,PDZ and LIM domain protein 1,Mus musculus,2285.65,646.575,1192.9333333333334
O70435,Psma3,Proteasome subunit alpha type-3,Mus musculus,9857.48,9917.76,9887.62
O70439,Stx7,Syntaxin-7,Mus musculus,10216.8,7520.74,8868.77
O70456,Sfn,14-3-3 protein sigma,Mus musculus,34195.1588,30788.7394,32491.9491
O70493,Snx12,Sorting nexin-12,Mus musculus,2857.85,1986.675,2422.2625
O70514,Fgfbp1,Fibroblast growth factor-binding protein 1,Mus musculus,18958.7396,15622.220000000001,17290.4798
O70570,Pigr,Polymeric immunoglobulin receptor,Mus musculus,704510.4376000001,944665.9126,824588.1751
O70576,Stag3,Cohesin subunit SA-3,Mus musculus,114.35,322.975,253.43333333333334
O70582,Alox12b,"Arachidonate 12-lipoxygenase, 12R-type",Mus musculus,4007.16,3972.58,3989.87
O88200,Clec11a,C-type lectin domain family 11 member A,Mus musculus,1394.3,NA,1394.3
O88307,Sorl1,Sortilin-related receptor,Mus musculus,4314.04,6301.48,5307.76
O88310,Itln1,Intelectin-1a,Mus musculus,798.6,995.7,897.15
O88312,Agr2,Anterior gradient protein 2 homolog,Mus musculus,63108.279800000004,24816.3,43962.289899999996
O88322,Nid2,Nidogen-2,Mus musculus,443.65999999999997,245.74,344.7
O88342,Wdr1,WD repeat-containing protein 1,Mus musculus,20787.86,19669.1402,20228.5001
O88452,Stc2,Stanniocalcin-2,Mus musculus,17383.84,8492.4,13432.08888888889
O88456,Capns1,Calpain small subunit 1,Mus musculus,8817.54,9882.52,9350.03
O88487,Dync1i2,Cytoplasmic dynein 1 intermediate chain 2,Mus musculus,605.7,NA,605.7
O88531,Ppt1,Palmitoyl-protein thioesterase 1,Mus musculus,49090.5602,52231.6002,50661.0802
O88543,Cops3,COP9 signalosome complex subunit 3,Mus musculus,694,149.7,585.14
O88544,Cops4,COP9 signalosome complex subunit 4,Mus musculus,1198.6000000000001,272.7,735.6500000000001
O88569,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,Mus musculus,14812.4396,16947.02,15879.729800000001
O88587,Comt,Catechol O-methyltransferase,Mus musculus,3241.4,2323.5,2782.45
O88593,Pglyrp1,Peptidoglycan recognition protein 1,Mus musculus,121725.5796,228154.6782,174940.1289
O88653,Lamtor3,Ragulator complex protein LAMTOR3,Mus musculus,2442,4069.3,2848.8250000000003
O88668,Creg1,Protein CREG1,Mus musculus,437043.4906,460323.4812,448683.4859
O88685,Psmc3,26S proteasome regulatory subunit 6A,Mus musculus,3210.4399999999996,898.125,2182.7444444444445
O88783,F5,Coagulation factor V,Mus musculus,5003.34,4247.38,4625.36
O88839,Adam15,Disintegrin and metalloproteinase domain-containing protein 15,Mus musculus,949.4,1099.62,1024.51
O88844,Idh1,Isocitrate dehydrogenase [NADP] cytoplasmic,Mus musculus,33145.0602,22868.9394,28006.9998
O88851,Rbbp9,Putative hydrolase RBBP9,Mus musculus,4349.7,1842.5,3096.1
O88947,F10,Coagulation factor X,Mus musculus,19188.25,1272.5,13216.333333333334
O88958,Gnpda1,Glucosamine-6-phosphate isomerase 1,Mus musculus,2612.62,1491.58,2052.1
O88968,Tcn2,Transcobalamin-2,Mus musculus,10858036.9,13479994.8,12169015.85
O88990,Actn3,Alpha-actinin-3,Mus musculus,766.1999999999999,2616.75,1823.657142857143
O89001,Cpd,Carboxypeptidase D,Mus musculus,23251.0202,27882.019800000002,25566.52
O89017,Lgmn,Legumain,Mus musculus,3845.94,5532.98,4689.46
O89020,Afm,Afamin,Mus musculus,29274.701199999996,9346.680199999999,19310.6907
O89023,Tpp1,Tripeptidyl-peptidase 1,Mus musculus,69517.8804,74126.7592,71822.3198
O89051,Itm2b,Integral membrane protein 2B,Mus musculus,7285.219999999999,5955,6694.011111111111
O89053,Coro1a,Coronin-1A,Mus musculus,54016.2206,67413.739,60714.9798
O89079,Cope,Coatomer subunit epsilon,Mus musculus,1294.72,2265.76,1780.24
O89086,Rbm3,RNA-binding protein 3,Mus musculus,19917.100400000003,5566.02,12741.5602
O89109,Kcnn4,Intermediate conductance calcium-activated potassium channel protein 4,Mus musculus,9602,4175.9,6888.95
P00329,Adh1,Alcohol dehydrogenase 1,Mus musculus,40695.9594,21737.0998,31216.529599999998
P00405,Mtco2,Cytochrome c oxidase subunit 2,Mus musculus,4994.38,5731.0999999999995,5362.74
P00493,Hprt1,Hypoxanthine-guanine phosphoribosyltransferase,Mus musculus,24749.5398,20687.4602,22718.5
P00683,Rnase1,Ribonuclease pancreatic,Mus musculus,46010.0606,34644.86,40327.4603
P00687,Amy1,Alpha-amylase 1,Mus musculus,833292742.4,716468838.4,774880790.4
P00688,Amy2a5,Pancreatic alpha-amylase 2a5,Mus musculus,222289.7624,146949.9782,184619.8703
P00755,Klk1b1,Kallikrein 1-related peptidase b1,Mus musculus,2707621.9874,697229.25,1702425.6187000002
P00756,Klk1b3,Kallikrein 1-related peptidase b3,Mus musculus,1126183.2376,200581.4618,663382.3496999999
P00757,Klk1b4,Kallikrein 1-related peptidase-like b4,Mus musculus,2087491.5626,690514.1372,1389002.8499
P00796;P06281,Ren2;Ren1,Renin-2;Renin-1,Mus musculus,7450.77475,11811.033333333333,9319.457
P00920,Ca2,Carbonic anhydrase 2,Mus musculus,182232.425,1064.2333333333333,104588.91428571429
P01027,C3,Complement C3,Mus musculus,294424.7304,88067.2398,191245.98510000002
P01029,C4b,Complement C4-B,Mus musculus,34610.8194,6419.68,20515.2497
P01132,Egf,Pro-epidermal growth factor,Mus musculus,345384.4374,188246.4564,266815.4469
P01139,Ngf,Beta-nerve growth factor,Mus musculus,175218.0948,10475.425,101999.13044444445
P01592,Jchain,Immunoglobulin J chain,Mus musculus,543700.9842,309071.0232,426386.0037
P01630,NA,Ig kappa chain V-II region 7S34.1,Mus musculus,2819.0333333333333,2734.7,2797.95
P01631,NA,Ig kappa chain V-II region 26-10,Mus musculus,86111.54160000001,58781.17675,73964.71277777778
P01633,Igkv6-17,Immunoglobulin kappa chain variable 6-17,Mus musculus,21331.96,42864.62,32098.29
P01635,Igkv12-41,Immunoglobulin kappa chain variable 12-41 (Fragment),Mus musculus,6088.366666666667,9233.833333333332,7661.1
P01636,NA,Ig kappa chain V-V region MOPC 149,Mus musculus,1534.9,11658.9,6596.9
P01638,NA,Ig kappa chain V-V region L6 (Fragment),Mus musculus,21274.649749999997,101703.328,61488.988874999995
P01639,Igkv9-120,Immunoglobulin kappa chain variable 9-120,Mus musculus,32540.499499999998,17711.9,29574.7796
P01642,Igkv5-48,Immunoglobulin kappa variable 5-48 (Fragment),Mus musculus,7627.700249999999,67895.147,27716.849166666667
P01644;P01645;P01646,NA,Ig kappa chain V-V region HP R16.7;Ig kappa chain V-V region HP 93G7;Ig kappa chain V-V region HP 123E6,Mus musculus,25106.3602,5529.725,16405.633444444444
P01648,NA,Ig kappa chain V-V region HP 91A3,Mus musculus,35192.7245,2421.8,28638.5396
P01654;P01655,NA,Ig kappa chain V-III region PC 2880/PC 1229;Ig kappa chain V-III region PC 7132,Mus musculus,14110.8996,19589.967,16165.549875
P01674,NA,Ig kappa chain V-III region PC 2154,Mus musculus,6286.1,34974.951,25412.000666666667
