ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
Q91V41,Rab14,Ras-related protein Rab-14,Mus musculus,3530.1,2531.7599999999998,3030.93
Q91V64,Isoc1,Isochorismatase domain-containing protein 1,Mus musculus,4774.7,2780.7,3777.7
Q91V76,NA,Ester hydrolase C11orf54 homolog,Mus musculus,276.4,NA,276.4
Q91V80,Apof,Apolipoprotein F,Mus musculus,45843.8994,53419.1396,49631.5195
Q91V92,Acly,ATP-citrate synthase,Mus musculus,2964.52,4799.04,3881.7799999999997
Q91V98,Cd248,Endosialin,Mus musculus,223.8,NA,223.8
Q91VA1,Slc44a4,Choline transporter-like protein 4,Mus musculus,2778.24,5345.22,4061.73
Q91VE3,Klk7,Kallikrein-7,Mus musculus,15321.9402,13138.800000000001,14230.3701
Q91VH6,Memo1,Protein MEMO1,Mus musculus,592.6,259,481.40000000000003
Q91VI7,Rnh1,Ribonuclease inhibitor,Mus musculus,11094.239599999999,6668.3,8881.2698
Q91VK4,Itm2c,Integral membrane protein 2C,Mus musculus,6940.7,5898,6419.35
Q91VM5,Rbmxl1,"RNA binding motif protein, X-linked-like-1",Mus musculus,1744.3,1155.62,1449.96
Q91VM9,Ppa2,"Inorganic pyrophosphatase 2, mitochondrial",Mus musculus,2101,NA,2101
Q91VR2,Atp5f1c,"ATP synthase subunit gamma, mitochondrial",Mus musculus,1103.6,993.85,1040.8857142857144
Q91VS7,Mgst1,Microsomal glutathione S-transferase 1,Mus musculus,502.26666666666665,1558.8,924.88
Q91VU0,Fam3c,Protein FAM3C,Mus musculus,3388.18,5951.08,4669.63
Q91VW3,Sh3bgrl3,SH3 domain-binding glutamic acid-rich-like protein 3,Mus musculus,47354.0398,70379.0806,58866.5602
Q91VZ6,Smap1,Stromal membrane-associated protein 1,Mus musculus,1140.1,NA,1140.1
Q91W20,Lrrc26,Leucine-rich repeat-containing protein 26,Mus musculus,46776.9608,36554.7596,41665.8602
Q91W89,Man2c1,Alpha-mannosidase 2C1,Mus musculus,274.7,116.85,229.6
Q91W90,Txndc5,Thioredoxin domain-containing protein 5,Mus musculus,8068.280000000001,9512.52,8790.4
Q91WG8,Gne,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,Mus musculus,2051.3,3737.96,2988.333333333333
Q91WP0,Masp2,Mannan-binding lectin serine protease 2,Mus musculus,2945.1000000000004,763,2399.575
Q91WP6,Serpina3n,Serine protease inhibitor A3N,Mus musculus,15956.4604,7557.26,11756.8602
Q91WQ3,Yars1,"Tyrosine--tRNA ligase, cytoplasmic",Mus musculus,739.12,506.12,622.62
Q91WR8,Gpx6,Glutathione peroxidase 6,Mus musculus,237485.9454,408040.9796,322763.4625
Q91X52,Dcxr,L-xylulose reductase,Mus musculus,4215.9,1408.7,2531.58
Q91X72,Hpx,Hemopexin,Mus musculus,1046103.7217999999,312349.2872,679226.5045
Q91XA2,Golm1,Golgi membrane protein 1,Mus musculus,16179.96,21303.660200000002,18741.8101
Q91XA9,Chia,Acidic mammalian chitinase,Mus musculus,317947760,244340672,281144216
Q91XF0,Pnpo,Pyridoxine-5'-phosphate oxidase,Mus musculus,1862.3,NA,1862.3
Q91XL3,Uxs1,UDP-glucuronic acid decarboxylase 1,Mus musculus,17952,16253.1602,17102.5801
Q91XM9,Dlg2,Disks large homolog 2,Mus musculus,4801.925,2269.675,3535.8
Q91XV3,Basp1,Brain acid soluble protein 1,Mus musculus,943.05,710.65,826.85
Q91Y74,St3gal4,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4",Mus musculus,5033,14541.38,9787.189999999999
Q91YH5,Atl3,Atlastin-3,Mus musculus,593.1666666666666,413.25,521.2
Q91YI0,Asl,Argininosuccinate lyase,Mus musculus,692.78,779.325,731.2444444444444
Q91YI4,Arrb2,Beta-arrestin-2,Mus musculus,801.34,1798.22,1299.78
Q91YN9,Bag2,BAG family molecular chaperone regulator 2,Mus musculus,837.25,288.725,471.5666666666667
Q91YQ5,Rpn1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Mus musculus,1044.975,1257.325,1151.15
Q91YR1,Twf1,Twinfilin-1,Mus musculus,2920.84,2225.6666666666665,2660.15
Q91YR9,Ptgr1,Prostaglandin reductase 1,Mus musculus,24294.5004,26811.3802,25552.9403
Q91YT7,Ythdf2,YTH domain-containing family protein 2,Mus musculus,2018.28,2252.04,2135.16
Q91YW3,Dnajc3,DnaJ homolog subfamily C member 3,Mus musculus,193991.1812,179750.8218,186871.0015
Q91Z53,Grhpr,Glyoxylate reductase/hydroxypyruvate reductase,Mus musculus,4543.78,3578.9,4061.34
Q91Z83,Myh7,Myosin-7,Mus musculus,3024.18,8771.6004,5897.8902
Q91Z98,Chil4,Chitinase-like protein 4,Mus musculus,188872.0608,733222.9092,461047.485
Q91ZI0,Celsr3,Cadherin EGF LAG seven-pass G-type receptor 3,Mus musculus,14.25,58.3,28.933333333333334
Q91ZJ5,Ugp2,UTP--glucose-1-phosphate uridylyltransferase,Mus musculus,4854.84,4159.64,4507.24
Q91ZJ9,Hyal1,Hyaluronidase-1,Mus musculus,23322.5804,26031.88,24677.230199999998
Q91ZX7,Lrp1,Prolow-density lipoprotein receptor-related protein 1,Mus musculus,36.6,NA,36.6
Q920A5,Scpep1,Retinoid-inducible serine carboxypeptidase,Mus musculus,354.53999999999996,540.2666666666667,424.1875
Q920E5,Fdps,Farnesyl pyrophosphate synthase,Mus musculus,4130.86,4747.98,4439.42
Q920H1,Scgb3a2,Secretoglobin family 3A member 2,Mus musculus,32101.234333333334,20675.2402,24959.987999999998
Q921F2,Tardbp,TAR DNA-binding protein 43,Mus musculus,456,1075.5666666666666,765.7833333333333
Q921I1,Tf,Serotransferrin,Mus musculus,3272772.35,939362.0876,2106067.2188
Q921M7,Cyrib,CYFIP-related Rac1 interactor B,Mus musculus,19155.92,30510.1408,24833.0304
Q921V5,Mgat2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Mus musculus,23964.8804,23626.9204,23795.9004
Q922B2,Dars1,"Aspartate--tRNA ligase, cytoplasmic",Mus musculus,6222.24,6378.48,6300.36
Q922D8,Mthfd1,"C-1-tetrahydrofolate synthase, cytoplasmic",Mus musculus,5030.839999999999,1759.66,3395.25
Q922H4,Gmppa,Mannose-1-phosphate guanyltransferase alpha,Mus musculus,555.6,271.90000000000003,385.38
Q922Q8,Lrrc59,Leucine-rich repeat-containing protein 59,Mus musculus,6810.92475,7043.76,6940.277666666667
Q922Q9,Chid1,Chitinase domain-containing protein 1,Mus musculus,23014.5802,26837.8996,24926.2399
Q922R8,Pdia6,Protein disulfide-isomerase A6,Mus musculus,40100.1204,43844.1194,41972.1199
Q922U2,Krt5,"Keratin, type II cytoskeletal 5",Mus musculus,125984.0984,105985.1,115984.5992
Q923D2,Blvrb,Flavin reductase (NADPH),Mus musculus,50616.5015,2425.4666666666667,29963.200857142856
Q923U0,Tom1l1,TOM1-like protein 1,Mus musculus,321.1,NA,321.1
Q925H7,Krtap19-4,Keratin-associated protein 19-4,Mus musculus,NA,56465.602,56465.602
Q93092,Taldo1,Transaldolase,Mus musculus,44086.7786,46095.8,45091.289300000004
Q99020,Hnrnpab,Heterogeneous nuclear ribonucleoprotein A/B,Mus musculus,6494.24,3570,5032.12
Q99J08,Sec14l2,SEC14-like protein 2,Mus musculus,6066.25,NA,6066.25
Q99J45,Nrbp1,Nuclear receptor-binding protein,Mus musculus,485.8333333333333,540.56,520.0375
Q99J77,Nans,Sialic acid synthase,Mus musculus,5334.240000000001,6084.1,5709.17
Q99JI4,Psmd6,26S proteasome non-ATPase regulatory subunit 6,Mus musculus,2763.62,1792.1000000000001,2277.86
Q99JI6,Rap1b,Ras-related protein Rap-1b,Mus musculus,33877.9402,27651.0604,30764.5003
Q99JR5,Tinagl1,Tubulointerstitial nephritis antigen-like,Mus musculus,5747.22,6830.0999999999995,6288.66
Q99JV5,Stard4,StAR-related lipid transfer protein 4,Mus musculus,66.8,0.3,33.55
Q99JW2,Acy1,Aminoacylase-1,Mus musculus,1399.4,NA,1399.4
Q99JW4,Lims1,LIM and senescent cell antigen-like-containing domain protein 1,Mus musculus,335.5,858.0333333333333,727.4
Q99JW5,Epcam,Epithelial cell adhesion molecule,Mus musculus,478.6,1071.9,775.25
Q99JX4,Eif3m,Eukaryotic translation initiation factor 3 subunit M,Mus musculus,707.4,215.05,379.1666666666667
Q99JY9,Actr3,Actin-related protein 3,Mus musculus,30938.68,49359.4602,40149.0701
Q99K01,Pdxdc1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Mus musculus,1450.8,598.25,1024.525
Q99K30,Eps8l2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Mus musculus,627.64,696.1,661.87
Q99K51,Pls3,Plastin-3,Mus musculus,58719.400200000004,67860.0994,63289.749800000005
Q99K85,Psat1,Phosphoserine aminotransferase,Mus musculus,1278.0333333333333,1363.3666666666668,1320.7
Q99KB8,Hagh,"Hydroxyacylglutathione hydrolase, mitochondrial",Mus musculus,51444.325,41249.49925,46346.912125
Q99KC8,Vwa5a,von Willebrand factor A domain-containing protein 5A,Mus musculus,1147.74,395.3666666666667,865.6
Q99KG5,Lsr,Lipolysis-stimulated lipoprotein receptor,Mus musculus,20839.2798,29769.4392,25304.3595
Q99KI0,Aco2,"Aconitate hydratase, mitochondrial",Mus musculus,3505.54,2369.52,2937.53
Q99KJ8,Dctn2,Dynactin subunit 2,Mus musculus,2941.95,1132.5,2338.7999999999997
Q99KK2,Cmas,N-acylneuraminate cytidylyltransferase,Mus musculus,2071.025,1525.6,1889.2166666666667
Q99KK7,Dpp3,Dipeptidyl peptidase 3,Mus musculus,2284.4,1831.0749999999998,2082.922222222222
Q99KP3,Cryl1,Lambda-crystallin homolog,Mus musculus,2483.2,1285.9499999999998,2084.116666666667
Q99KQ4,Nampt,Nicotinamide phosphoribosyltransferase,Mus musculus,13560.26,9286.2202,11423.240099999999
Q99KR8,Fuca2,Plasma alpha-L-fucosidase,Mus musculus,80413.6406,68794.8406,74604.2406
Q99KV1,Dnajb11,DnaJ homolog subfamily B member 11,Mus musculus,43299.8796,37626.3806,40463.1301
Q99KW9,Itfg1,T-cell immunomodulatory protein,Mus musculus,722.64,1328.85,992.0666666666666
Q99L13,Hibadh,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",Mus musculus,671.6,415.1333333333333,517.72
Q99L20,Gstt3,Glutathione S-transferase theta-3,Mus musculus,3634.1,1105.4,2369.75
Q99L45,Eif2s2,Eukaryotic translation initiation factor 2 subunit 2,Mus musculus,643.225,524.95,584.0875
Q99L47,St13,Hsc70-interacting protein,Mus musculus,4059.44,2179.38,3119.41
Q99LB6,Mat2b,Methionine adenosyltransferase 2 subunit beta,Mus musculus,1092,546.5333333333333,858.2285714285714
Q99LD4,Gps1,COP9 signalosome complex subunit 1,Mus musculus,558.2,131.25,273.56666666666666
Q99LD8,Ddah2,Putative hydrolase DDAH2,Mus musculus,4284.45,361.3,2976.733333333333
Q99LE6,Abcf2,ATP-binding cassette sub-family F member 2,Mus musculus,625.6333333333333,542.28,573.5375
Q99LF4,Rtcb,RNA-splicing ligase RtcB homolog,Mus musculus,1302.6666666666667,449.9,769.6875
Q99LI8,Hgs,Hepatocyte growth factor-regulated tyrosine kinase substrate,Mus musculus,125.8,20.46666666666667,46.8
Q99LJ1,Fuca1,Tissue alpha-L-fucosidase,Mus musculus,18836.06,20224.1004,19530.0802
Q99LX0,Park7,Parkinson disease protein 7 homolog,Mus musculus,20236.5204,12671.020199999999,16453.7703
Q99M71,Epdr1,Mammalian ependymin-related protein 1,Mus musculus,1208.9499999999998,NA,1208.9499999999998
Q99M73,Krt84,"Keratin, type II cuticular Hb4",Mus musculus,36733.4194,76913.54000000001,56823.4797
Q99M74,Krt82,"Keratin, type II cuticular Hb2",Mus musculus,472.16666666666663,1445.15,861.36
Q99MK8,Grk2,Beta-adrenergic receptor kinase 1,Mus musculus,536.7,1136.44,869.8888888888889
Q99MN1,Kars1,Lysine--tRNA ligase,Mus musculus,2613.425,1389.06,1933.2222222222222
Q99NB5,Gsdmc,Gasdermin-C,Mus musculus,354.3333333333333,879.24,682.4
Q99P58,Rab27b,Ras-related protein Rab-27B,Mus musculus,461.8,259.8,394.4666666666667
Q99P72,Rtn4,Reticulon-4,Mus musculus,330.26666666666665,127.15,249.02
Q99P91,Gpnmb,Transmembrane glycoprotein NMB,Mus musculus,1166.0500000000002,401.6,911.2333333333333
Q99PJ1,Pcdh15,Protocadherin-15,Mus musculus,158.8,148,149.8
Q99PL5,Rrbp1,Ribosome-binding protein 1,Mus musculus,2521.16,5309.76,3915.46
Q99PS0,Krt23,"Keratin, type I cytoskeletal 23",Mus musculus,9881.04,8531.72,9206.38
Q99PT1,Arhgdia,Rho GDP-dissociation inhibitor 1,Mus musculus,150028.6218,106489.3812,128259.0015
Q99PV0,Prpf8,Pre-mRNA-processing-splicing factor 8,Mus musculus,59.120000000000005,64.225,61.38888888888889
Q9CPP7,Lipf,Gastric triacylglycerol lipase,Mus musculus,16878190.95,20018841.4,18448516.175
Q9CPQ1,Cox6c,Cytochrome c oxidase subunit 6C,Mus musculus,15493.84,17082.8598,16288.349900000001
Q9CPR4,Rpl17,Large ribosomal subunit protein uL22,Mus musculus,2186.05,858.65,1522.3500000000001
Q9CPT0,Bcl2l14,Apoptosis facilitator Bcl-2-like protein 14,Mus musculus,464.73333333333335,NA,464.73333333333335
Q9CPT4,Mydgf,Myeloid-derived growth factor,Mus musculus,183675.6204,76270.5398,129973.08009999999
Q9CPU0,Glo1,Lactoylglutathione lyase,Mus musculus,6330.1,3052.375,4873.333333333334
Q9CPV4,Glod4,Glyoxalase domain-containing protein 4,Mus musculus,10213.579800000001,5975.46,8094.5199
Q9CPW4,Arpc5,Actin-related protein 2/3 complex subunit 5,Mus musculus,12075.4,17857.5196,14966.4598
Q9CPY7,Lap3,Cytosol aminopeptidase,Mus musculus,2914.025,1083.4599999999998,1897.0444444444445
Q9CQ19,Myl9,Myosin regulatory light polypeptide 9,Mus musculus,1040.9,NA,1040.9
Q9CQ60,Pgls,6-phosphogluconolactonase,Mus musculus,33320.5594,23922.02,28621.2897
Q9CQ65,Mtap,S-methyl-5'-thioadenosine phosphorylase,Mus musculus,3151.1,1535.4750000000001,2227.885714285714
Q9CQ86,Mien1,Migration and invasion enhancer 1,Mus musculus,2821.75,1321.25,1821.4166666666667
Q9CQ92,Fis1,Mitochondrial fission 1 protein,Mus musculus,2975.2000000000003,1251.9,2400.766666666667
Q9CQA1,Trappc5,Trafficking protein particle complex subunit 5,Mus musculus,1480.92,1360.1599999999999,1420.54
Q9CQC6,Bzw1,eIF5-mimic protein 2,Mus musculus,376.56,329.85,355.8
Q9CQC9,Sar1b,Small COPII coat GTPase SAR1B,Mus musculus,1900.9,1464.5666666666666,1682.7333333333333
Q9CQD1,Rab5a,Ras-related protein Rab-5A,Mus musculus,1639.8,NA,1639.8
Q9CQF3,Nudt21,Cleavage and polyadenylation specificity factor subunit 5,Mus musculus,7832.433333333333,7017,7366.471428571429
Q9CQI3,Gmfb,Glia maturation factor beta,Mus musculus,5041.78,5972,5506.889999999999
Q9CQI6,Cotl1,Coactosin-like protein,Mus musculus,99568.2016,118336.8594,108952.5305
Q9CQJ0,Them5,Acyl-coenzyme A thioesterase THEM5,Mus musculus,4465.54,2616.62,3541.08
Q9CQM5,Txndc17,Thioredoxin domain-containing protein 17,Mus musculus,17225.98,20405.3002,18815.6401
Q9CQM9,Glrx3,Glutaredoxin-3,Mus musculus,3397.02,3615.05,3493.9222222222224
Q9CQR6,Ppp6c,Serine/threonine-protein phosphatase 6 catalytic subunit,Mus musculus,1407.1000000000001,602.3333333333334,1004.7166666666667
Q9CQV3,Serpinb11,Serpin B11,Mus musculus,337605.3248,398841.7564,368223.5406
Q9CQV8,Ywhab,14-3-3 protein beta/alpha,Mus musculus,2919.4799999999996,2302.16,2610.82
Q9CQW1,Ykt6,Synaptobrevin homolog YKT6,Mus musculus,1266.875,1020.05,1143.4624999999999
Q9CQW3,Proz,Vitamin K-dependent protein Z,Mus musculus,3218.8,NA,3218.8
Q9CQX0,Otub2,Ubiquitin thioesterase OTUB2,Mus musculus,2494.7666666666664,2256.05,2399.28
Q9CR09,Ufc1,Ubiquitin-fold modifier-conjugating enzyme 1,Mus musculus,2762.775,1628,2384.5166666666664
Q9CR16,Ppid,Peptidyl-prolyl cis-trans isomerase D,Mus musculus,723.44,1094.625,888.4111111111112
Q9CR26,Vta1,Vacuolar protein sorting-associated protein VTA1 homolog,Mus musculus,2341.48,2028.92,2185.2
Q9CR33,Mansc1,MANSC domain-containing protein 1,Mus musculus,10329.56,8972.699999999999,9651.13
Q9CR51,Atp6v1g1,V-type proton ATPase subunit G 1,Mus musculus,1889.575,387.5,1589.16
Q9CR57,Rpl14,Large ribosomal subunit protein eL14,Mus musculus,32574.500799999998,32755.3406,32664.9207
Q9CR67,Tmem33,Transmembrane protein 33,Mus musculus,3533.375,4486,3723.9
Q9CRA5,Golph3,Golgi phosphoprotein 3,Mus musculus,915.8000000000001,1642.65,1279.225
Q9CRB3,Urah,5-hydroxyisourate hydrolase,Mus musculus,7011.42,6097.56,6554.49
Q9CRB6,Tppp3,Tubulin polymerization-promoting protein family member 3,Mus musculus,1959.28,4480.1,3079.6444444444446
Q9CRC9,Gnpda2,Glucosamine-6-phosphate isomerase 2,Mus musculus,2894.2,NA,2894.2
Q9CS42;Q9D7G0,Prps2;Prps1,Ribose-phosphate pyrophosphokinase 2;Ribose-phosphate pyrophosphokinase 1,Mus musculus,2710.96,1987.425,2389.3888888888887
Q9CVB6,Arpc2,Actin-related protein 2/3 complex subunit 2,Mus musculus,18961.0802,22882.8796,20921.9799
Q9CWF2,Tubb2b,Tubulin beta-2B chain,Mus musculus,26565.06,19834.1798,23199.6199
Q9CWJ9,Atic,Bifunctional purine biosynthesis protein ATIC,Mus musculus,11748.5755,3445.38,7135.689111111111
Q9CWK8,Snx2,Sorting nexin-2,Mus musculus,1605.8,463.38,1034.59
Q9CWL8,Ctnnbl1,Beta-catenin-like protein 1,Mus musculus,1228.7,837.8,1072.34
Q9CWZ3,Rbm8a,RNA-binding protein 8A,Mus musculus,5442.9,1680.92,2755.7714285714283
Q9CX00,Ist1,IST1 homolog,Mus musculus,4873.2,1652.76,3262.9800000000005
Q9CX56,Psmd8,26S proteasome non-ATPase regulatory subunit 8,Mus musculus,4822.45,3674.94,4184.944444444444
Q9CXI5,Manf,Mesencephalic astrocyte-derived neurotrophic factor,Mus musculus,107183.4986,75697.09999999999,91440.2993
Q9CXR1,Dhrs7,Dehydrogenase/reductase SDR family member 7,Mus musculus,5431.5,5913.9,5672.7
Q9CXW3,Cacybp,Calcyclin-binding protein,Mus musculus,3607.5,214.9,1345.7666666666667
Q9CXW4,Rpl11,Large ribosomal subunit protein uL5,Mus musculus,5881.28,5560.64,5720.96
Q9CXY6,Ilf2,Interleukin enhancer-binding factor 2,Mus musculus,775.25,1130.0666666666666,988.14
Q9CY58,Serbp1,SERPINE1 mRNA-binding protein 1,Mus musculus,1790.52,1701.225,1750.8333333333333
Q9CY64,Blvra,Biliverdin reductase A,Mus musculus,3121.82,965.74,2043.78
Q9CYA0,Creld2,Protein disulfide isomerase Creld2,Mus musculus,737.1999999999999,1363.575,1015.5888888888888
Q9CYD3,Crtap,Cartilage-associated protein,Mus musculus,4485.360000000001,3199.02,3842.19
Q9CYL5,Glipr2,Golgi-associated plant pathogenesis-related protein 1,Mus musculus,852.4,1804.06,1381.1
Q9CYN9,Atp6ap2,Renin receptor,Mus musculus,74030.3602,81568.30159999999,77799.3309
Q9CYZ2,Tpd52l2,Tumor protein D54,Mus musculus,3468.48,2366.04,2917.26
Q9CZ28,Snf8,Vacuolar-sorting protein SNF8,Mus musculus,806.45,958,907.4833333333333
Q9CZ30,Ola1,Obg-like ATPase 1,Mus musculus,881.6,NA,881.6
Q9CZ42,Naxd,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,Mus musculus,10875.24,15195.0602,13035.1501
Q9CZ44,Nsfl1c,NSFL1 cofactor p47,Mus musculus,2948.06,1316.84,2132.45
Q9CZC8,Scrn1,Secernin-1,Mus musculus,1459,NA,1459
Q9CZD3,Gars1,Glycine--tRNA ligase,Mus musculus,998.5799999999999,727.74,863.16
Q9CZM2,Rpl15,Large ribosomal subunit protein eL15,Mus musculus,3776.42,5004.26,4390.34
Q9CZT5,Vasn,Vasorin,Mus musculus,1819.5,295.1,1057.3
Q9CZU6,Cs,"Citrate synthase, mitochondrial",Mus musculus,10283.34,10197.42,10240.38
Q9CZX8,Rps19,Small ribosomal subunit protein eS19,Mus musculus,2281.2749999999996,1638.6,1959.9375
Q9CZY3,Ube2v1,Ubiquitin-conjugating enzyme E2 variant 1,Mus musculus,5011.36,4368.24,4689.8
Q9D020,Nt5c3a,Cytosolic 5'-nucleotidase 3A,Mus musculus,637.8666666666667,258.1,542.925
Q9D0E1,Hnrnpm,Heterogeneous nuclear ribonucleoprotein M,Mus musculus,657.54,1316.9,987.22
Q9D0F3,Lman1,Protein ERGIC-53,Mus musculus,21072.9798,17300.4598,19186.7198
Q9D0F9,Pgm1,Phosphoglucomutase-1,Mus musculus,6097.54,3954.1600000000003,5025.85
Q9D0M5,Dynll2,"Dynein light chain 2, cytoplasmic",Mus musculus,7816.7,NA,7816.7
Q9D0R2,Tars1,"Threonine--tRNA ligase 1, cytoplasmic",Mus musculus,2529.44,1713.14,2121.29
Q9D0W5,Ppil1,Peptidyl-prolyl cis-trans isomerase-like 1,Mus musculus,2373.55,583.1,1478.325
Q9D154,Serpinb1a,Leukocyte elastase inhibitor A,Mus musculus,75424.9798,114157.2596,94791.1197
Q9D1A2,Cndp2,Cytosolic non-specific dipeptidase,Mus musculus,11043.575,5622.7,8333.1375
Q9D1D4,Tmed10,Transmembrane emp24 domain-containing protein 10,Mus musculus,1230.18,2266.82,1748.5
Q9D1E4,Cysrt1,Cysteine-rich tail protein 1,Mus musculus,3178.5666666666666,5607.5599999999995,4696.6875
Q9D1G1,Rab1b,Ras-related protein Rab-1B,Mus musculus,12826.560000000001,10878.52,11852.54
Q9D1H9,Mfap4,Microfibril-associated glycoprotein 4,Mus musculus,4279.3,NA,4279.3
Q9D1J1,Necap2,Adaptin ear-binding coat-associated protein 2,Mus musculus,1124.2,NA,1124.2
Q9D1Q6,Erp44,Endoplasmic reticulum resident protein 44,Mus musculus,89736.8406,43448.4996,66592.6701
Q9D1R9,Rpl34,Large ribosomal subunit protein eL34,Mus musculus,4579.68,3321.22,3950.45
Q9D2J7,Ankef1,Ankyrin repeat and EF-hand domain-containing protein 1,Mus musculus,3159.2599999999998,915.9749999999999,2162.2444444444445
Q9D2L1,Arsk,Arylsulfatase K,Mus musculus,3881.3799999999997,3707.96,3794.67
Q9D2Q8,S100a14,Protein S100-A14,Mus musculus,68526.8198,42914.1598,55720.4898
Q9D2R0,Aacs,Acetoacetyl-CoA synthetase,Mus musculus,982.1,1007,997.6625
Q9D2V7,Coro7,Coronin-7,Mus musculus,964.22,1241.24,1102.73
Q9D309,Fam3b,Protein FAM3B,Mus musculus,15778.04,23837.0202,19807.5301
Q9D358,Acp1,Low molecular weight phosphotyrosine protein phosphatase,Mus musculus,1989.525,2410.42,2223.3555555555554
Q9D379,Ephx1,Epoxide hydrolase 1,Mus musculus,330.45000000000005,224.95,277.7
Q9D394,Rufy3,Protein RUFY3,Mus musculus,3649.4,NA,3649.4
Q9D3H2,Obp1a,Odorant-binding protein 1a,Mus musculus,22515969,34315974.8,28415971.9
Q9D646,Krt34,"Keratin, type I cuticular Ha4",Mus musculus,59973.65025,71848.3495,63931.88333333333
Q9D662,Sec23b,Protein transport protein Sec23B,Mus musculus,1448.825,1211.58,1317.0222222222221
Q9D6N1,Ca13,Carbonic anhydrase 13,Mus musculus,539.4,NA,539.4
Q9D6P8,Calml3,Calmodulin-like protein 3,Mus musculus,127018.6796,103018.4414,115018.5605
Q9D6Y7,Msra,Mitochondrial peptide methionine sulfoxide reductase,Mus musculus,6459.52,10687.5998,8573.5599
Q9D6Y9,Gbe1,"1,4-alpha-glucan-branching enzyme",Mus musculus,1477.7,1182.82,1330.26
Q9D708,S100a16,Protein S100-A16,Mus musculus,38590.4996,8535.619999999999,23563.0598
Q9D733,Gp2,Pancreatic secretory granule membrane major glycoprotein GP2,Mus musculus,76336.5,112796.9608,94566.7304
Q9D7D2,Serpina9,Serpin A9,Mus musculus,5150.8,5012.4800000000005,5081.64
Q9D7I0,Shisa5,Protein shisa-5,Mus musculus,1782.15,2346.5,2120.76
Q9D7N9,Apmap,Adipocyte plasma membrane-associated protein,Mus musculus,2890.6000000000004,1056.76,1973.68
Q9D7P7,Clic3,Chloride intracellular channel protein 3,Mus musculus,1195.75,1805.7,1457.1571428571428
Q9D7P9,Serpinb12,Serpin B12,Mus musculus,184634.4436,120582.5392,152608.4914
Q9D7Q0,Lyg1,Lysozyme g-like protein 1,Mus musculus,8186.7,8298.22,8242.46
Q9D7Q1,Chit1,Chitotriosidase-1,Mus musculus,4781.28,4786.66,4783.97
Q9D7X3,Dusp3,Dual specificity protein phosphatase 3,Mus musculus,1703.8,NA,1703.8
Q9D7Z6,Clca1,Calcium-activated chloride channel regulator 1,Mus musculus,2648.266666666667,1312.2333333333333,1980.25
Q9D7Z7,Lypd5,Ly6/PLAUR domain-containing protein 5,Mus musculus,15592.5002,16129.8398,15861.17
Q9D819,Ppa1,Inorganic pyrophosphatase,Mus musculus,7572.5,5639.08,6605.79
Q9D869,Chp2,Calcineurin B homologous protein 2,Mus musculus,3830.2999999999997,3178.5,3550.9571428571426
Q9D892,Itpa,Inosine triphosphate pyrophosphatase,Mus musculus,1166.25,545.5999999999999,959.3666666666666
Q9D8E6,Rpl4,Large ribosomal subunit protein uL4,Mus musculus,3659.7,701.6,2180.6499999999996
Q9D8L5,Ccdc91,Coiled-coil domain-containing protein 91,Mus musculus,706.3,NA,706.3
Q9D8N0,Eef1g,Elongation factor 1-gamma,Mus musculus,12669.4,12315.980000000001,12492.69
Q9D8T0,Fam3a,Protein FAM3A,Mus musculus,4004.96,2915.6000000000004,3460.28
Q9D8U8,Snx5,Sorting nexin-5,Mus musculus,5382.5,NA,5382.5
Q9D8W5,Psmd12,26S proteasome non-ATPase regulatory subunit 12,Mus musculus,1363.3400000000001,896.5999999999999,1229.9857142857145
Q9D8X1,Cutc,Copper homeostasis protein cutC homolog,Mus musculus,506.4,NA,506.4
Q9D8Y0,Efhd2,EF-hand domain-containing protein D2,Mus musculus,9090.460000000001,12166.62,10628.54
Q9D906,Atg7,Ubiquitin-like modifier-activating enzyme ATG7,Mus musculus,132746.0428,60986.2592,96866.151
Q9D952,Evpl,Envoplakin,Mus musculus,449.7,417.1,431.07142857142856
Q9D967,Mdp1,Magnesium-dependent phosphatase 1,Mus musculus,4490.74,3588.62,4039.68
Q9D9N8,Pradc1,Protease-associated domain-containing protein 1,Mus musculus,53156.6204,49563.3212,51359.970799999996
Q9D9W0,Spatc1l,Speriolin-like protein,Mus musculus,870.75,NA,870.75
Q9DAR7,Dcps,m7GpppX diphosphatase,Mus musculus,1786.3,NA,1786.3
Q9DAS9,Gng12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,Mus musculus,15002.25,10134.8,13379.766666666666
Q9DAU7,Wfdc2,WAP four-disulfide core domain protein 2,Mus musculus,6720.5599999999995,8190.04,7455.3
Q9DB05,Napa,Alpha-soluble NSF attachment protein,Mus musculus,2007.18,2246.5,2126.84
