Geneid,mouse_gene,ortholog_type,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06,Secretome location,Secretome function,Level,Reliability,Cell type
ABCA12,Abca12,one-to-one,0.0724443932713693,0.124992458244741,0.0337516677762276,0.22443654882099,0.0537210437953388,0.0726207668696654,0.0455229827326133,0.104209551802062,0.0366557373452481,0.0953538097853848,0.0220382127719264,0.0738425487870277,0.0601712110068745,NA,NA,NA,NA,NA
ABCA13,Abca13,one-to-one,0.0249406842461681,0.0506254000841554,0.120845967066162,0.0772675543913518,0.258926238765958,0.254559760007608,0.129296938904647,0.021103874292319202,0.00360559962773786,0,0.0436262416913958,0.020337625702304,0.0161119411679482,NA,NA,NA,NA,NA
ABCA15P,NA,human-specific,0,0,0,0,0,0,0,0.0509607270020604,0.217666168499157,0,0,0,0,NA,NA,NA,NA,NA
ABCA15P_1,NA,human-specific,0,0,0.0281936085733041,0,0.224372628184893,0.0551472135995548,0.0475331013552374,0.051205196255014,0,0,0,0.18504755945923199,0.279236171833521,NA,NA,NA,NA,NA
ABCA17P,NA,human-specific,0.381026718010453,0.521217989085149,0.108055303536319,0.384926366056344,0.163797018920076,0.211358148396957,0.0390377512204725,0.280357008148871,0.383192246205966,0.186902054096322,0.100792723837984,0.219519368828408,0.305772942700221,NA,NA,NA,NA,NA
ABCA2,Abca2,one-to-one,12.2995225992555,9.30503383521517,7.81937467575872,11.7240564568815,9.0608394749418,10.0139348893642,2.39394581259834,8.25950168792282,5.64334055635606,7.1359964548768,7.51880482129675,5.01305768266881,6.43447987220977,NA,NA,Medium,Approved,glandular cells
ABCA3,Abca3,one-to-one,7.88170199590923,8.45789019975796,6.19844726481144,11.999667582099,13.8583517032372,17.5256124079306,5.44801915548236,8.26091755883385,5.18062625288464,9.89992040493421,6.40980350275767,6.02000651969329,8.26303904568543,NA,NA,Medium,Enhanced,glandular cells
ABCA4,Abca4,one-to-one,0.113613529644089,0,0.052932268934432,0.178085474876192,0.234027673047653,0.0517682426789489,0.0446206610565881,0.0240338799835045,0,0.0178026246942185,0.0864055528316343,0.0579031187008759,0.0873756198163569,NA,NA,Not detected,Enhanced,glandular cells
ABCA5,Abca5,one-to-one,11.2637010041507,13.7031580029376,11.0356194982716,10.2867958191066,16.6326128046691,16.3565818972567,12.0232805571744,10.4560739969046,10.2263088216196,10.9623046030365,8.91228879047149,12.6329356061306,9.8396536387808,NA,NA,High,Approved,glandular cells
ABCA6,Abca6,one-to-one,11.2916887892441,9.47510734590661,8.23741897066745,10.8634246216349,18.9189712574837,12.5240555408855,8.07055067742499,7.85551801250479,7.53055401100216,7.71075471100897,8.21075220623284,9.94133033490991,8.09836851673744,NA,NA,NA,NA,NA
ABCA7,Abca7,one-to-one,8.1552803299489,5.62302130603749,5.53591784316847,8.60214940986845,8.30855352209773,8.72842224615833,1.81786828340406,8.80813300348334,4.28721571863478,6.71597782457278,4.84599772288252,3.06363937790627,8.31219349127542,NA,NA,Low,Enhanced,glandular cells
