transcript_id,gene_id,gene_name
ENSMUST00000188283,ENSMUSG00000101251,Gm3496
ENSMUST00000189212,ENSMUSG00000101937,Gm5268
ENSMUST00020182116,ENSMUSG00002075531,Gm54783
ENSMUST00000083020,ENSMUSG00000064954,Gm24919
ENSMUST00000194861,ENSMUSG00000026495,Efcab2
ENSMUST00000027775,ENSMUSG00000026495,Efcab2
ENSMUST00000192905,ENSMUSG00000026495,Efcab2
ENSMUST00000035779,ENSMUSG00000032883,Acsl3
ENSMUST00000134566,ENSMUSG00000032883,Acsl3
ENSMUST00000142704,ENSMUSG00000032883,Acsl3
ENSMUST00000135642,ENSMUSG00000032883,Acsl3
ENSMUST00000132997,ENSMUSG00000032883,Acsl3
ENSMUST00000154777,ENSMUSG00000032883,Acsl3
ENSMUST00000148608,ENSMUSG00000032883,Acsl3
ENSMUST00000186568,ENSMUSG00000026480,Ncf2
ENSMUST00000190323,ENSMUSG00000026480,Ncf2
ENSMUST00000187641,ENSMUSG00000026480,Ncf2
ENSMUST00000189135,ENSMUSG00000026480,Ncf2
ENSMUST00000187235,ENSMUSG00000026480,Ncf2
ENSMUST00000027754,ENSMUSG00000026480,Ncf2
ENSMUST00000193931,ENSMUSG00000026494,Kif26b
ENSMUST00000161017,ENSMUSG00000026494,Kif26b
ENSMUST00000160789,ENSMUSG00000026494,Kif26b
ENSMUST00000083033,ENSMUSG00000064967,Gm24405
ENSMUST00000192621,ENSMUSG00000102922,Gm34176
ENSMUST00000166384,ENSMUSG00000025915,Sgk3
ENSMUST00000188782,ENSMUSG00000025915,Sgk3
ENSMUST00000168907,ENSMUSG00000025915,Sgk3
ENSMUST00000188625,ENSMUSG00000025915,Sgk3
ENSMUST00000188738,ENSMUSG00000025915,Sgk3
ENSMUST00000188298,ENSMUSG00000025915,Sgk3
ENSMUST00000171265,ENSMUSG00000025915,Sgk3
ENSMUST00000188830,ENSMUSG00000025915,Sgk3
ENSMUST00000189050,ENSMUSG00000025915,Sgk3
ENSMUST00000097826,ENSMUSG00000025915,Sgk3
ENSMUST00000191338,ENSMUSG00000025915,Sgk3
ENSMUST00000188486,ENSMUSG00000025915,Sgk3
ENSMUST00000053760,ENSMUSG00000079470,Utp14b
ENSMUST00000151622,ENSMUSG00000079470,Utp14b
ENSMUST00000191249,ENSMUSG00000099377,Gm6159
ENSMUST00000189296,ENSMUSG00000099706,Gm29536
ENSMUST00000057262,ENSMUSG00000047330,Kcne4
ENSMUST00000187432,ENSMUSG00000047330,Kcne4
ENSMUST00000186681,ENSMUSG00000101324,Gm29187
ENSMUST00000049117,ENSMUSG00000072978,Gm5830
ENSMUST00000063059,ENSMUSG00000046334,Gm6195
ENSMUST00020183231,ENSMUSG00002075801,Gm54812
ENSMUST00000185234,ENSMUSG00000050711,Scg2
ENSMUST00000049972,ENSMUSG00000050711,Scg2
ENSMUST00000187291,ENSMUSG00000099562,Gm19027
ENSMUST00000104594,ENSMUSG00000077782,Gm24160
ENSMUST00000128302,ENSMUSG00000055067,Smyd3
ENSMUST00000068437,ENSMUSG00000055067,Smyd3
ENSMUST00000131684,ENSMUSG00000055067,Smyd3
ENSMUST00000129393,ENSMUSG00000055067,Smyd3
ENSMUST00000125756,ENSMUSG00000055067,Smyd3
ENSMUST00000111134,ENSMUSG00000055067,Smyd3
ENSMUST00000194237,ENSMUSG00000055067,Smyd3
ENSMUST00000162342,ENSMUSG00000054702,Ap1s3
ENSMUST00000159312,ENSMUSG00000054702,Ap1s3
ENSMUST00000160706,ENSMUSG00000054702,Ap1s3
ENSMUST00000178932,ENSMUSG00000096474,Gm5561
ENSMUST00000195349,ENSMUSG00000102235,Gm37886
ENSMUST00000027769,ENSMUSG00000026492,Tfb2m
ENSMUST00000139993,ENSMUSG00000026492,Tfb2m
ENSMUST00000129982,ENSMUSG00000026492,Tfb2m
ENSMUST00000150778,ENSMUSG00000026492,Tfb2m
ENSMUST00000129009,ENSMUSG00000026492,Tfb2m
ENSMUST00000120442,ENSMUSG00000082395,Gm15480
ENSMUST00000040706,ENSMUSG00000038949,Cnst
ENSMUST00000144370,ENSMUSG00000038949,Cnst
ENSMUST00000153962,ENSMUSG00000038949,Cnst
ENSMUST00000143270,ENSMUSG00000038949,Cnst
ENSMUST00000129611,ENSMUSG00000026043,Col3a1
ENSMUST00000087883,ENSMUSG00000026043,Col3a1
ENSMUST00000189818,ENSMUSG00000026043,Col3a1
ENSMUST00000123204,ENSMUSG00000026043,Col3a1
ENSMUST00000190943,ENSMUSG00000026043,Col3a1
ENSMUST00000185687,ENSMUSG00000026043,Col3a1
ENSMUST00000186021,ENSMUSG00000026043,Col3a1
ENSMUST00000052843,ENSMUSG00000046101,Mcmdc2
ENSMUST00000125294,ENSMUSG00000046101,Mcmdc2
ENSMUST00000140948,ENSMUSG00000046101,Mcmdc2
ENSMUST00000118098,ENSMUSG00000046101,Mcmdc2
ENSMUST00000183059,ENSMUSG00000046101,Mcmdc2
ENSMUST00000171802,ENSMUSG00000046101,Mcmdc2
ENSMUST00020183014,ENSMUSG00002074901,Gm54819
ENSMUST00000175437,ENSMUSG00000093178,Snord87
ENSMUST00000185184,ENSMUSG00000099032,Tcf24
ENSMUST00000097824,ENSMUSG00000099032,Tcf24
ENSMUST00000192299,ENSMUSG00000104025,E330040D14Rik
ENSMUST00000040538,ENSMUSG00000038936,Sccpdh
ENSMUST00000134287,ENSMUSG00000038936,Sccpdh
ENSMUST00000131039,ENSMUSG00000038936,Sccpdh
