"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032233","positive regulation of actin filament bundle assembly","14/1262","67/16937",0.208955223880597,2.80433805615346,4.19883776243135,0.00035133259437216,0.0346717048524526,0.0318338511722143,"Vil1/Pfn2/Synpo2/Lpar1/Wnt4/Tac1/Epha1/Nox4/Pak1/Tpm1/Ccn2/Tgfb3/Mtss1/Rapgef3",14
"GO:0071774","response to fibroblast growth factor","23/1262","143/16937",0.160839160839161,2.15858388837787,3.9477510188038,0.000364232587779593,0.0352535118133594,0.0323680376589557,"Creb3l1/Thbs1/Tyro3/Mertk/Postn/Lrit3/Musk/Epha8/Wnt4/Epha5/Epha1/Fgfr2/Gclc/Ephb1/Ccn2/Enpp1/Ngfr/Wnt5a/Fgf9/Egr3/Chrd/Nrxn1/Fgf1",23
"GO:0051346","negative regulation of hydrolase activity","18/1262","100/16937",0.18,2.41573692551506,4.0288539941378,0.000387187509736873,0.035468942013317,0.0325658350546313,"Sh3bp4/Serpinb5/Serpinb3a/Serpinb3d/Serpinb11/Serpinb10/Cst3/Ptx3/Atp5if1/Nos1/Serpine1/Hpn/Timp3/Serpinb1a/Serpinb6b/Serpinb6a/Spock1/Tnf",18
"GO:0007269","neurotransmitter secretion","26/1262","171/16937",0.152046783625731,2.04058349783598,3.88053481204282,0.000387600200821068,0.035468942013317,0.0325658350546313,"Stxbp1/Snap23/Pfn2/Bglap/Sv2a/Ngf/Unc13b/Slc6a9/Htr1d/Pclo/Cadps2/Snca/Brsk1/Kcnc3/Mctp2/Pak1/Chrna3/Doc2b/Rph3al/Sphk1/Ptprn2/Slc18a3/Stxbp5l/Stx19/Nrxn1/Sncaip",26
"GO:0099643","signal release from synapse","26/1262","171/16937",0.152046783625731,2.04058349783598,3.88053481204282,0.000387600200821068,0.035468942013317,0.0325658350546313,"Stxbp1/Snap23/Pfn2/Bglap/Sv2a/Ngf/Unc13b/Slc6a9/Htr1d/Pclo/Cadps2/Snca/Brsk1/Kcnc3/Mctp2/Pak1/Chrna3/Doc2b/Rph3al/Sphk1/Ptprn2/Slc18a3/Stxbp5l/Stx19/Nrxn1/Sncaip",26
"GO:0071621","granulocyte chemotaxis","19/1262","109/16937",0.174311926605505,2.33939865365882,3.98050506212943,0.000412202113518532,0.0362730146706516,0.0333040949531326,"Fcer1g/Tgfb2/Tnfaip6/Thbs1/Vav3/Csf3r/Slit2/Pf4/C5ar1/Cxcl17/Dapk2/Ccl2/Ccl7/Ccl8/Ripor2/Lgals3/Vegfa/Vav1/Il17b",19
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","16/1262","84/16937",0.19047619047619,2.5563353709154,4.0572852828781,0.00041698584129969,0.0362730146706516,0.0333040949531326,"B2m/Pglyrp4/Pf4/Tac1/Reg3d/Reg3a/Reg2/Reg1/Reg3g/Hamp2/Defa24/Ccl2/Ccl7/Ccl8/Lgals3/App",16
"GO:0051798","positive regulation of hair follicle development","5/1262","10/16937",0.5,6.71038034865293,5.12514744584624,0.000418008116609933,0.0362730146706516,0.0333040949531326,"Tgfb2/Krt17/Fst/Wnt5a/Tnf",5
"GO:0045109","intermediate filament organization","10/1262","39/16937",0.256410256410256,3.44122069161689,4.33064932592905,0.000438700158098638,0.0372268430858545,0.0341798532102652,"Pkp1/Bbln/Tchh/Krt20/Krt36/Krt15/Krt19/Krt17/Krt80/Krt4",10
"GO:0006936","muscle contraction","38/1262","289/16937",0.131487889273356,1.76466749653157,3.72024758258572,0.000443793082684537,0.0372268430858545,0.0341798532102652,"Tnnt2/Casq2/Camk2d/Ank2/Tacr3/Tpm2/Tmod1/Htr1d/Nos1/Grip2/Lmod3/Cacna1c/Scn1b/Klk1b1/Synm/Kcne3/Scnn1b/Comp/Tmem38a/Agt/Scn4b/Chrna3/Tpm1/Ccn2/Kcnip1/Kcnj2/Sphk1/Dbn1/F2r/Itga2/Adra1a/Myh11/Mylk/Tnf/Adrb2/Acta2/Adra2a/Uty",38
"GO:0003018","vascular process in circulatory system","32/1262","232/16937",0.137931034482759,1.85113940652495,3.70384476116494,0.000531788653927033,0.0438769228723731,0.0402856288307105,"Adra1d/Htr1d/Slc5a1/Slit2/Nos1/Cftr/Mgll/Grip2/Hrh1/Alox5/Cacna1c/Klk1b1/Pde2a/Scnn1b/Comp/Agt/Gclc/Kcnmb1/Scpep1/Esr2/Flvcr2/F2r/Adra1a/Npr3/Tnf/Vegfa/Adcyap1/Adrb2/Acta2/Adra2a/G6pdx/Cysltr1",32
"GO:0052547","regulation of peptidase activity","15/1262","78/16937",0.192307692307692,2.58091551871267,3.97073938763444,0.00056191063836283,0.0456144555303246,0.0418809457115929,"Serpinb5/Serpinb3a/Serpinb3d/Serpinb11/Serpinb10/Cst3/Atp13a2/Serpine1/Aph1b/Aph1c/Timp3/Serpinb1a/Serpinb6b/Serpinb6a/Spock1",15
"GO:0071466","cellular response to xenobiotic stimulus","27/1262","185/16937",0.145945945945946,1.95870561528248,3.72022432713141,0.000584978236668368,0.0467332613516174,0.0429081780948059,"Aox2/Ugt1a1/Ren1/Fmo1/Fmo3/Grin1/Uchl1/Nos1/Serpine1/Cyp3a41a/Slco1a6/Cyp2b10/Cyp2b9/Cyp2a4/Ppp1r14a/Rora/Gsta2/Ccl2/Itgb3/Mylk/Nr1i2/Sult1c1/Cyp2c68/Cyp2c40/Cyp2c69/Cyp2c37/Gsto1",27
"GO:0030282","bone mineralization","21/1262","130/16937",0.161538461538462,2.16796903571864,3.79305579024342,0.000606931715586851,0.0477294894460722,0.0438228656484585,"Grem1/Bglap3/Bglap/Sgms2/Ccn1/Wnt4/Ptn/Alox5/Mgp/Fgfr2/Comp/Nfix/Tent5a/Enpp1/Asgr2/Phospho1/Notum/Aspn/Mtss1/Lox/Adrb2",21
"GO:0060326","cell chemotaxis","36/1262","274/16937",0.131386861313869,1.76331162446354,3.61436398205712,0.000628171520308908,0.0486398040263805,0.0446586716462527,"Fcer1g/Slamf9/Tgfb2/Tnfaip6/Grem1/Thbs1/Mmp9/Vav3/Lpar1/Csf3r/Padi2/Slit2/Pf4/Serpine1/Ptn/Alox5/C5ar1/Cxcl17/Pdgfd/Dapk2/Ephb1/Cxcl16/Ccl2/Ccl7/Ccl8/Agr2/Ripor2/Wnt5a/Lgals3/Egr3/App/Vegfa/Vav1/Fgf1/Lox/Il17b",36
