gene,log2FoldChange_strain_PAR,log2FoldChange_strain_SL,log2FoldChange_strain_SM,log2FoldChange_strain_LIV,log2FoldChange_strain_PANC,log2FoldChange_sex_PAR,log2FoldChange_sex_SL,log2FoldChange_sex_SM,log2FoldChange_sex_LIV,log2FoldChange_sex_PANC,padj_strain_PAR,padj_strain_SL,padj_strain_SM,padj_strain_LIV,padj_strain_PANC,padj_sex_PAR,padj_sex_SL,padj_sex_SM,padj_sex_LIV,padj_sex_PANC,baseMean_strain_PAR,baseMean_strain_SL,baseMean_strain_SM,baseMean_strain_LIV,baseMean_strain_PANC,baseMean_sex_PAR,baseMean_sex_SL,baseMean_sex_SM,baseMean_sex_LIV,baseMean_sex_PANC
Smarcd2,0.107749695890511,0.185422677691046,0.20691237265105,0.0446304265117744,0.132439651870558,0.0619855089862241,0.107079079920829,-0.236918538222934,-0.00652097744923264,-0.055411326318096,0.999997843896355,0.113682998760987,0.348298045278022,0.7622059233265,0.545817705275271,0.999978656998048,0.999703591649468,0.144805595091461,0.979261570192009,0.862042088262941,3569.53179447645,4016.86687610446,2192.01834604401,3156.02353620986,1135.0217784939,3569.53179447645,4016.86687610446,2192.01834604401,3156.02353620986,1135.0217784939
Tcam1,0.959815538281489,-0.0198748260119047,0.485643165359555,0.111418118444191,0.925936589350467,-1.02574881203189,-0.172836884440088,-0.210834299100735,-0.464347774096832,0.566742002606395,0.999997843896355,0.983800203468965,0.719312532302666,0.935694502409926,0.657212543052716,0.999978656998048,0.999703591649468,0.841491666944416,0.786166777090918,NA,16.0694726546489,23.9798523968849,10.1574865358475,9.60294589924874,3.63021685359629,16.0694726546489,23.9798523968849,10.1574865358475,9.60294589924874,3.63021685359629
Gh,-0.0302352937625791,-0.605572930227892,NA,NA,-1.27736223208164,0.0261174687393548,-2.318060372835,NA,NA,-2.38774818179161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67527326005666,1.56260854450826,NA,NA,0.74392487675423,5.67527326005666,1.56260854450826,NA,NA,0.74392487675423
Cd79b,0.375891080480436,0.783235770304675,0.749765216573834,-0.0866084162184085,-3.14813813790612,-1.24276451336519,0.108778726525752,-0.123056990591931,-0.11753448318472,-1.86444723655264,0.999997843896355,0.0881784081866583,0.668328853387656,0.910912113986766,NA,0.999978656998048,0.999703591649468,0.940894915545397,0.916356112095074,NA,2753.29122258965,47.2479355586317,43.3185958944684,63.139085313432,214.307225054239,2753.29122258965,47.2479355586317,43.3185958944684,63.139085313432,214.307225054239
Scn4a,0.590657993215005,-0.443352380506084,-0.781748201456338,-1.06218702134839,-2.55342365805659,-0.900805191982181,-0.775162161511242,1.73483671047656,0.756490936873422,-2.20984594671082,0.999997843896355,0.822980776086503,0.668326337491036,0.249446158384774,0.101152015932956,0.999978656998048,0.999703591649468,0.0765958911961987,0.596324336536696,0.423952312691783,125.21076212169,6.28620010867081,6.81729611740942,11.0786187965141,17.760250826297,125.21076212169,6.28620010867081,6.81729611740942,11.0786187965141,17.760250826297
Prr29,-1.05047784980062,0.31475231578841,1.32325946944809,NA,0.45353168810277,-1.19067529374856,-0.351142926511618,0.993083196996823,NA,0.370725528432968,NA,0.728348066629192,NA,NA,NA,NA,0.999703591649468,NA,NA,NA,3.37527350965254,11.9367991042167,1.7307830779085,NA,1.41696414489423,3.37527350965254,11.9367991042167,1.7307830779085,NA,1.41696414489423
Icam2,0.16582063413803,-0.242203896493317,-0.533202470697145,-0.0287929339181457,-1.0690588453912,-0.70506823288164,0.25745113666242597,0.0393214919892319,0.179074398330753,-0.692237153671444,0.999997843896355,0.569516172222602,0.570622288760898,0.969229124750373,0.243271020455573,0.999978656998048,0.999703591649468,0.967886049062004,0.850277157536132,0.625120159203255,358.977767406689,51.4453835887743,33.1134305990369,76.2038221620559,65.8024711122296,358.977767406689,51.4453835887743,33.1134305990369,76.2038221620559,65.8024711122296
Ern1,-0.161780084892074,0.221594369964188,-0.191191665928708,-0.181195108596826,0.66281255954697,0.709429501984138,0.0924696057144593,-0.227322143895639,0.0986243796488315,0.286066962380506,0.999997843896355,0.0470064687559701,0.655711641555814,0.437145184926771,0.116538009590668,0.999978656998048,0.999703591649468,0.413025140455425,0.802842228781886,0.673345465081668,2117.41897741343,4012.64541641,3211.97535139567,3304.4930480149,1164.28810298288,2117.41897741343,4012.64541641,3211.97535139567,3304.4930480149,1164.28810298288
Gm36220,-0.190570297906572,0.842870153805856,0.0919155191406187,0.59178571499018,-0.561195760804883,-0.330525144037979,-0.424325059716322,2.40482823212241,-0.623782494442538,-2.03715816238419,NA,0.535602808466056,0.984953515595994,0.672208062334406,NA,NA,0.999703591649468,0.0810752326697482,0.757465547804063,NA,4.49945857305961,8.99156892331667,4.79957487456345,6.39342856001312,1.24754747577924,4.49945857305961,8.99156892331667,4.79957487456345,6.39342856001312,1.24754747577924
Snord104,-0.0237028309925892,-0.429308395139443,-0.165193566729468,-0.782612051245345,-0.0136626913982077,0.267036142593719,0.0699395789487602,0.128438435518066,-0.237833195812817,-0.0443472186215652,0.999997843896355,0.294117008628762,0.944661745192482,0.0104529008406269,0.991742614088613,0.999978656998048,0.999703591649468,0.921302384400091,0.696103921708896,0.976998303813499,35.5964873336327,37.3328250733127,14.9576800103839,66.0362999540622,15.3172214819713,35.5964873336327,37.3328250733127,14.9576800103839,66.0362999540622,15.3172214819713
